
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     framestack4_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,771,211 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  Frame stack:  4 frames
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/framestack4_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/framestack4_s3/config.json

  step=  64,800  1 eps: CoacA:1L P0  ret=  29.00  len=  885  WR[warming up...]
  step=  65,376  1 eps: Light:1L P0  ret=  27.20  len=  951  WR[warming up...]
  step=  66,456  1 eps: Mayar:1L P0  ret=   4.20  len=  796  WR[warming up...]
  step=  67,776  1 eps: Mayar:1L P0  ret=  20.00  len= 1002  WR[warming up...]
  step=  68,448  1 eps: Mayar:1L P0  ret=   8.20  len=  961  WR[warming up...]
  step=  68,856  1 eps: Mayar:1L P0  ret=  56.00  len= 1245  WR[warming up...]
  step=  72,336  1 eps: Mayar:1L P0  ret=  44.00  len= 1114  WR[warming up...]
  step=  75,672  1 eps: CoacA:1L P1  ret=   1.20  len=  752  WR[warming up...]
  step=  76,296  1 eps: Mayar:1L P0  ret=  41.00  len= 1144  WR[warming up...]
  step=  77,424  1 eps: Light:1L P1  ret=  44.00  len=  881  WR[warming up...]
  step=  78,024  1 eps: CoacA:1L P1  ret=  22.00  len=  796  WR[warming up...]
  step=  78,240  2 eps: CoacA:1L P1 Worke:1L P1  ret=  27.60  len= 1020  WR[warming up...]
  step=  78,312  1 eps: CoacA:1L P1  ret=  30.00  len=  817  WR[warming up...]
  step=  80,784  1 eps: CoacA:1L P1  ret=  -5.80  len=  727  WR[warming up...]
  step=  81,072  1 eps: CoacA:1L P1  ret=   5.20  len=  780  WR[warming up...]
  step=  81,360  1 eps: Mayar:1L P0  ret=  60.00  len= 1258  WR[warming up...]
  step=  81,672  1 eps: CoacA:1L P1  ret=  28.00  len=  845  WR[warming up...]
  step=  81,840  1 eps: Worke:1L P0  ret=  28.00  len=  840  WR[warming up...]
  step=  83,448  1 eps: Mayar:1L P1  ret=  35.00  len=  983  WR[warming up...]
  step=  84,288  1 eps: CoacA:1L P1  ret=  17.20  len=  825  WR[warming up...]
  step=  84,960  1 eps: Light:1L P1  ret=  -3.80  len=  816  WR[warming up...]
  step=  85,056  1 eps: Mayar:1L P1  ret=   3.20  len=  775  WR[warming up...]
  step=  85,944  1 eps: CoacA:1L P1  ret=  12.20  len=  881  WR[warming up...]
  step=  86,088  1 eps: Mayar:1L P1  ret=  -6.80  len=  763  WR[warming up...]
  step=  86,952  1 eps: Mayar:1L P1  ret=  38.00  len=  978  WR[warming up...]
  step=  90,720  1 eps: Worke:1L P1  ret=  -5.80  len=  370  WR[warming up...]
  step=  91,152  1 eps: Mayar:1L P1  ret=  36.20  len=  929  WR[warming up...]
  step=  91,320  1 eps: Mayar:1L P1  ret=  31.00  len=  953  WR[warming up...]
  step=  93,624  1 eps: Mayar:1L P1  ret=  27.20  len=  887  WR[warming up...]
  step=  93,720  1 eps: Mayar:1L P1  ret=  14.20  len=  726  WR[warming up...]
  step=  95,688  1 eps: CoacA:1L P0  ret=   3.20  len=  834  WR[warming up...]
  step=  96,000  2 eps: Rando:2D P0  ret=  98.60  len= 4000  WR[warming up...]
  step=  96,600  1 eps: Worke:1L P0  ret=  25.00  len=  765  WR[warming up...]
  step=  99,672  1 eps: Light:1L P0  ret=  51.00  len=  927  WR[warming up...]
  step=  99,912  1 eps: CoacA:1L P0  ret=  21.00  len=  912  WR[warming up...]
  step= 100,536  1 eps: CoacA:1L P0  ret=  23.20  len=  823  WR[warming up...]
  step= 100,608  1 eps: Light:1L P0  ret=  -2.80  len=  652  WR[warming up...]
  step= 101,400  1 eps: CoacA:1L P0  ret=  28.00  len=  965  WR[warming up...]
  step= 102,576  1 eps: Mayar:1L P1  ret=  -1.80  len=  884  WR[warming up...]
  step= 102,792  1 eps: CoacA:1L P0  ret=  43.00  len= 1020  WR[warming up...]
  step= 103,584  1 eps: Mayar:1L P0  ret=  -3.80  len=  839  WR[warming up...]
  step= 103,776  1 eps: CoacA:1L P0  ret=  37.00  len=  946  WR[warming up...]
  step= 104,400  1 eps: CoacA:1L P0  ret=  46.00  len=  947  WR[warming up...]
  step= 105,888  1 eps: CoacA:1L P0  ret=  38.20  len=  900  WR[warming up...]
  step= 110,520  1 eps: Worke:1L P0  ret=  46.00  len=  825  WR[warming up...]
  step= 110,640  1 eps: Worke:1L P1  ret=   5.20  len=  585  WR[warming up...]
  step= 111,504  1 eps: CoacA:1L P0  ret=  31.00  len= 1065  WR[warming up...]
  step= 112,728  1 eps: Mayar:1L P0  ret=  56.40  len= 1074  WR[warming up...]
  step= 115,440  1 eps: Mayar:1L P0  ret=  23.20  len=  909  WR[warming up...]
  step= 116,328  1 eps: Mayar:1L P0  ret=  53.00  len= 1042  WR[warming up...]
  step= 116,448  1 eps: CoacA:1L P1  ret=   6.20  len=  865  WR[warming up...]
  step= 116,952  1 eps: CoacA:1L P1  ret=  -6.80  len=  710  WR[warming up...]
  step= 117,696  1 eps: Light:1L P1  ret=  13.20  len=  751  WR[warming up...]
  step= 118,704  1 eps: Light:1L P1  ret=   0.20  len=  754  WR[warming up...]
  step= 119,832  1 eps: CoacA:1L P1  ret=   9.00  len=  804  WR[warming up...]
  step= 119,904  1 eps: Mayar:1L P0  ret=  67.00  len= 1452  WR[warming up...]
  step= 121,944  1 eps: CoacA:1L P1  ret=   6.20  len=  798  WR[warming up...]
  step= 122,640  1 eps: CoacA:1L P1  ret=  -2.80  len=  760  WR[Coac=0%]
  step= 123,120  1 eps: Worke:1L P0  ret=  24.60  len=  520  WR[Coac=0%]
  step= 123,528  1 eps: Mayar:1L P0  ret=  94.40  len= 1560  WR[Coac=0%]
  step= 124,680  1 eps: Mayar:1L P0  ret=  76.00  len= 1397  WR[Coac=0%]
  step= 124,896  1 eps: CoacA:1L P1  ret=  36.00  len=  880  WR[Coac=0%]
  step= 125,424  1 eps: Mayar:1L P0  ret=  23.20  len=  952  WR[Coac=0%]
  step= 125,928  1 eps: CoacA:1L P1  ret=  38.00  len= 1022  WR[Coac=0%]
  step= 126,648  1 eps: CoacA:1L P1  ret=  27.00  len=  865  WR[Coac=0%]
  step= 128,520  1 eps: Mayar:1L P0  ret=  55.00  len= 1450  WR[Coac=0%]
  step= 129,216  1 eps: CoacA:1L P1  ret=  24.20  len=  738  WR[Coac=0%]
  step= 132,480  1 eps: Worke:1L P1  ret=  38.00  len=  915  WR[Coac=0%]
  step= 135,240  1 eps: Worke:1L P1  ret=  21.00  len=  505  WR[Coac=0%]
  step= 137,328  1 eps: Mayar:1L P1  ret=  41.00  len= 1025  WR[Coac=0%]
  step= 137,352  1 eps: Light:1L P0  ret=  40.00  len=  819  WR[Coac=0%]
  step= 138,312  1 eps: Mayar:1L P1  ret=  89.00  len= 1447  WR[Coac=0%]
  step= 138,888  1 eps: Light:1L P0  ret=  26.20  len=  841  WR[Coac=0%]
  step= 138,936  1 eps: CoacA:1L P0  ret=  44.20  len=  937  WR[Coac=0%]
  step= 140,112  1 eps: Mayar:1L P1  ret=   6.20  len=  842  WR[Coac=0%]
