
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     pae_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  PAE:          keep first 486/512 steps (95%)
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s2/config.json

  step=  66,888  1 eps: Mayar:1L  ret=   2.20  len=  779  WR[warming up...]
  step=  70,728  1 eps: Mayar:1L  ret=  45.00  len= 1077  WR[warming up...]
  step=  71,064  1 eps: Light:1L  ret=  -2.80  len=  737  WR[warming up...]
  step=  72,480  1 eps: Worke:1L  ret=  40.00  len=  845  WR[warming up...]
  step=  75,240  1 eps: Mayar:1L  ret=  59.00  len= 1414  WR[warming up...]
  step=  75,840  1 eps: Mayar:1L  ret=  69.00  len= 1385  WR[warming up...]
  step=  76,200  1 eps: CoacA:1L  ret=  21.00  len=  759  WR[warming up...]
  step=  76,512  1 eps: CoacA:1L  ret=   7.20  len=  749  WR[warming up...]
  step=  76,536  1 eps: CoacA:1L  ret=  -6.80  len=  773  WR[warming up...]
  step=  77,568  1 eps: CoacA:1L  ret=  28.00  len=  827  WR[warming up...]
  step=  78,216  1 eps: CoacA:1L  ret=  -9.80  len=  729  WR[warming up...]
  step=  78,912  1 eps: Mayar:1L  ret=  53.00  len= 1455  WR[warming up...]
  step=  79,152  1 eps: CoacA:1L  ret=  -3.80  len=  761  WR[warming up...]
  step=  80,280  1 eps: Mayar:1L  ret=  62.00  len= 1299  WR[warming up...]
  step=  80,904  1 eps: CoacA:1L  ret=  -5.80  len=  716  WR[warming up...]
  step=  81,720  1 eps: Light:1L  ret=  38.00  len=  911  WR[warming up...]
  step=  82,536  1 eps: CoacA:1L  ret=   3.20  len=  843  WR[warming up...]
  step=  82,776  1 eps: CoacA:1L  ret=  26.00  len=  831  WR[warming up...]
  step=  83,544  1 eps: Mayar:1L  ret=   7.20  len=  744  WR[warming up...]
