
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_augment_symmetry_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Augment:      symmetry (random H/V flip)
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s1/config.json

  step=  68,184  1 eps: Mayar:1L  ret=  35.00  len=  989  WR[warming up...]
  step=  68,568  1 eps: Mayar:1L  ret=  45.00  len= 1036  WR[warming up...]
  step=  68,880  1 eps: POWor:1L  ret=  39.00  len=  810  WR[warming up...]
  step=  70,008  1 eps: POLig:1L  ret=  44.00  len=  911  WR[warming up...]
  step=  70,680  1 eps: Mayar:1L  ret=  22.20  len= 1009  WR[warming up...]
  step=  74,184  1 eps: Mayar:1L  ret=  32.00  len= 1001  WR[warming up...]
  step=  74,592  1 eps: POLig:1L  ret=   0.20  len=  773  WR[warming up...]
  step=  78,744  1 eps: Mayar:1L  ret=  41.00  len= 1209  WR[warming up...]
  step=  79,248  1 eps: CoacA:1L  ret=  -6.80  len=  741  WR[warming up...]
  step=  80,400  1 eps: CoacA:1L  ret=   1.20  len=  790  WR[warming up...]
  step=  80,712  2 eps: CoacA:2L  ret=  11.60  len=  812  WR[warming up...]
  step=  81,120  1 eps: CoacA:1L  ret=  32.00  len=  816  WR[warming up...]
  step=  81,624  1 eps: CoacA:1L  ret=  31.00  len=  795  WR[warming up...]
  step=  82,848  1 eps: CoacA:1L  ret=  17.20  len=  825  WR[warming up...]
  step=  83,112  1 eps: CoacA:1L  ret=   3.20  len=  861  WR[warming up...]
  step=  84,048  1 eps: Mayar:1L  ret=  -4.80  len=  780  WR[warming up...]
  step=  84,408  1 eps: CoacA:1L  ret=  36.00  len=  827  WR[warming up...]
  step=  84,480  1 eps: Mayar:1L  ret=  27.00  len=  976  WR[warming up...]
  step=  84,720  1 eps: POWor:1L  ret=  61.00  len= 1230  WR[warming up...]
  step=  87,360  1 eps: POWor:1L  ret=  22.00  len=  770  WR[warming up...]
  step=  89,016  1 eps: Mayar:1L  ret=  50.00  len= 1001  WR[warming up...]
  step=  89,688  1 eps: Mayar:1L  ret=  42.00  len=  920  WR[warming up...]
  step=  90,216  1 eps: Mayar:1L  ret=  46.00  len=  918  WR[warming up...]
  step=  92,016  1 eps: Mayar:1L  ret=  32.00  len=  889  WR[warming up...]
  step=  92,232  1 eps: POLig:1L  ret=  -2.80  len=  735  WR[warming up...]
  step=  93,000  1 eps: Mayar:1L  ret=  45.00  len= 1018  WR[warming up...]
  step=  93,600  1 eps: POLig:1L  ret=  44.00  len=  983  WR[warming up...]
  step=  96,000  2 eps: Rando:2D  ret= 172.50  len= 4000  WR[warming up...]
  step= 100,584  1 eps: CoacA:1L  ret=  14.20  len=  841  WR[warming up...]
  step= 101,520  1 eps: CoacA:1L  ret=  30.00  len=  928  WR[warming up...]
  step= 102,096  1 eps: CoacA:1L  ret=  25.20  len=  891  WR[warming up...]
  step= 102,480  1 eps: CoacA:1L  ret=  22.20  len=  890  WR[warming up...]
  step= 103,776  1 eps: CoacA:1L  ret=  -5.80  len=  872  WR[warming up...]
  step= 105,048  1 eps: CoacA:1L  ret=  49.20  len= 1014  WR[warming up...]
  step= 105,192  1 eps: CoacA:1L  ret=  21.20  len=  982  WR[warming up...]
  step= 105,360  1 eps: CoacA:1L  ret=  30.20  len=  927  WR[warming up...]
