
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_augment_symmetry_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Augment:      symmetry (random H/V flip)
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3/config.json

  step=  62,280  1 eps: CoacA:1L P0  ret=  17.00  len=  834  WR[warming up...]
  step=  63,048  1 eps: Mayar:1L P0  ret=   4.20  len=  806  WR[warming up...]
  step=  63,096  1 eps: Mayar:1L P0  ret=  17.00  len=  989  WR[warming up...]
  step=  63,960  1 eps: POLig:1L P0  ret=  56.00  len=  975  WR[warming up...]
  step=  64,464  1 eps: Mayar:1L P0  ret=  -4.80  len=  855  WR[warming up...]
  step=  64,632  1 eps: CoacA:1L P0  ret=  13.00  len=  898  WR[warming up...]
  step=  65,064  1 eps: Mayar:1L P0  ret=  21.00  len=  980  WR[warming up...]
  step=  65,976  1 eps: CoacA:1L P0  ret=  23.00  len=  936  WR[warming up...]
  step=  66,120  1 eps: POWor:1L P0  ret=  13.00  len=  530  WR[warming up...]
  step=  67,488  1 eps: Mayar:1L P0  ret=  48.00  len= 1028  WR[warming up...]
  step=  68,328  1 eps: Mayar:1L P0  ret=  -4.80  len=  700  WR[warming up...]
  step=  69,360  1 eps: POWor:1L P0  ret=  12.20  len=  475  WR[warming up...]
  step=  70,512  1 eps: Mayar:1L P0  ret=  43.20  len= 1116  WR[warming up...]
  step=  74,832  1 eps: CoacA:1L P1  ret=  23.00  len=  780  WR[warming up...]
  step=  74,856  1 eps: Mayar:1L P0  ret=  46.00  len=  938  WR[warming up...]
  step=  76,368  1 eps: POLig:1L P1  ret=  38.00  len= 1011  WR[warming up...]
  step=  77,232  1 eps: Mayar:1L P1  ret=  21.20  len=  881  WR[warming up...]
  step=  77,640  1 eps: CoacA:1L P1  ret=  20.00  len=  803  WR[warming up...]
  step=  79,632  1 eps: CoacA:1L P1  ret=  25.00  len=  885  WR[warming up...]
  step=  80,280  1 eps: CoacA:1L P1  ret=  22.00  len=  780  WR[warming up...]
  step=  81,288  1 eps: CoacA:1L P1  ret=  24.00  len=  792  WR[warming up...]
  step=  81,408  1 eps: Mayar:1L P1  ret=   5.00  len=  765  WR[warming up...]
  step=  81,600  1 eps: CoacA:1L P1  ret=  30.00  len=  845  WR[warming up...]
  step=  83,664  1 eps: CoacA:1L P1  ret=  26.00  len=  946  WR[warming up...]
  step=  84,696  1 eps: CoacA:1L P1  ret=  33.00  len=  780  WR[warming up...]
  step=  85,248  1 eps: POLig:1L P1  ret=  36.00  len=  887  WR[warming up...]
  step=  85,560  1 eps: CoacA:1L P1  ret=   5.00  len=  872  WR[warming up...]
  step=  86,280  1 eps: Mayar:1L P1  ret=  37.00  len=  966  WR[warming up...]
  step=  87,600  1 eps: POWor:1L P1  ret=  23.00  len=  760  WR[warming up...]
  step=  87,912  1 eps: Mayar:1L P1  ret=  41.00  len=  952  WR[warming up...]
  step=  91,272  1 eps: Mayar:1L P1  ret=  31.00  len=  991  WR[warming up...]
  step=  92,880  1 eps: POWor:1L P1  ret=  75.00  len= 1115  WR[warming up...]
  step=  93,456  1 eps: Mayar:1L P1  ret=  43.20  len=  956  WR[warming up...]
  step=  93,744  1 eps: Mayar:1L P1  ret=  26.00  len= 1059  WR[warming up...]
  step=  95,712  1 eps: CoacA:1L P0  ret=  20.00  len=  870  WR[warming up...]
  step=  95,904  1 eps: Mayar:1L P1  ret=  69.00  len= 1310  WR[warming up...]
  step=  96,000  1 eps: Rando:1D P0  ret= 161.00  len= 4000  WR[warming up...]
  step=  97,680  1 eps: CoacA:1L P0  ret=  -3.00  len=  835  WR[warming up...]
  step=  98,808  1 eps: POLig:1L P0  ret=  30.00  len=  935  WR[warming up...]
  step= 100,512  1 eps: Mayar:1L P1  ret=  52.00  len= 1069  WR[warming up...]
  step= 100,968  2 eps: CoacA:2L P0  ret=  -1.30  len=  848  WR[warming up...]
  step= 102,264  1 eps: CoacA:1L P0  ret=  19.20  len=  916  WR[warming up...]
  step= 102,672  1 eps: CoacA:1L P0  ret=   6.00  len=  792  WR[warming up...]
  step= 102,960  1 eps: CoacA:1L P0  ret=  -8.80  len=  761  WR[warming up...]
  step= 103,440  1 eps: POWor:1L P0  ret=  15.00  len=  660  WR[warming up...]
  step= 103,632  1 eps: Mayar:1L P0  ret=  39.00  len= 1100  WR[warming up...]
  step= 104,040  1 eps: Mayar:1L P0  ret=  28.00  len=  943  WR[warming up...]
  step= 104,472  1 eps: CoacA:1L P0  ret=  15.00  len=  966  WR[warming up...]
  step= 105,144  1 eps: POLig:1L P0  ret=  39.00  len=  829  WR[warming up...]
  step= 108,360  1 eps: POWor:1L P0  ret=   3.20  len=  645  WR[warming up...]
  step= 108,840  1 eps: CoacA:1L P0  ret=  40.00  len=  970  WR[warming up...]
