tournaments.RoundRobinTournament
AIs
	multimap_small_200M_s1
	BestRL-350M
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	1	2	9	235	1	-1	-1	7864956	4162626119
1	1	2	9	225	1	-1	-1	420375	3743688089
2	1	2	9	265	1	-1	-1	1059463	4537059180
3	1	2	9	225	1	-1	-1	355158	3862873664
4	1	2	9	205	1	-1	-1	328893	3648378631
0	0	9	0	686	1	-1	-1	7021368280	4239038456
1	0	9	0	686	1	-1	-1	7052302415	4239038456
2	0	9	0	686	1	-1	-1	7045039458	4239038456
3	0	9	0	686	1	-1	-1	7036356387	4239038456
4	0	9	0	686	1	-1	-1	7039715578	4239038456
0	3	7	15	832	1	-1	-1	90327802	439200179
1	3	7	15	815	1	-1	-1	95885531	510328385
2	3	7	15	838	1	-1	-1	63686971	430108199
3	3	7	15	835	1	-1	-1	57856084	381974860
4	3	7	15	820	1	-1	-1	67945816	352857463
0	2	13	2	1230	0	-1	-1	557641935	1171633
1	2	13	2	1290	0	-1	-1	597828793	1070842
2	2	13	2	1220	0	-1	-1	382287013	656932
3	2	13	2	1220	0	-1	-1	298562071	616899
4	2	13	2	1450	0	-1	-1	431381287	850813
0	3	13	1	956	1	-1	-1	504439456	11983346229
1	3	13	1	956	1	-1	-1	265259820	11983346229
2	3	13	1	956	1	-1	-1	250035856	11983346229
3	3	13	1	956	1	-1	-1	250987384	11983346229
4	3	13	1	956	1	-1	-1	236820857	11983346229
0	1	12	5	1470	1	-1	-1	135869367233	142540867830
1	1	12	5	335	1	-1	-1	23875099764	32592549620
2	1	12	5	3000	-1	-1	-1	288950452513	299980483982
3	1	12	5	515	1	-1	-1	35420704000	48094493299
4	1	12	5	1005	1	-1	-1	91952524463	78587593217
0	0	15	5	480	1	-1	-1	179451575	24686667481
1	0	15	5	470	1	-1	-1	166035888	26479998988
2	0	15	5	510	1	-1	-1	164814677	26781149529
3	0	15	5	720	1	-1	-1	234885428	27571492312
4	0	15	5	535	1	-1	-1	164077040	21479428922
0	3	10	7	1281	1	-1	-1	14864590373	137197272
1	3	10	7	1315	1	-1	-1	13754145103	128487442
2	3	10	7	1205	1	-1	-1	14057312513	77690010
3	3	10	7	1355	1	-1	-1	13855739396	86033945
4	3	10	7	1205	1	-1	-1	12364769005	64667758
0	3	7	1	820	1	-1	-1	71547946	11945271438
1	3	7	1	800	1	-1	-1	46905425	11692743352
2	3	7	1	765	1	-1	-1	44198010	11156637412
3	3	7	1	850	1	-1	-1	66523423	16138100143
4	3	7	1	825	1	-1	-1	49474325	12315199879
0	4	5	10	708	1	-1	-1	30384998263	30926682741
1	4	5	10	671	1	-1	-1	27260062743	28270875078
2	4	5	10	975	1	-1	-1	45536779480	45448830950
3	4	5	10	777	1	-1	-1	42144978832	30378618254
4	4	5	10	809	1	-1	-1	39358267209	30784465388
0	1	0	5	321	0	-1	-1	42143730766	16540056080
1	1	0	5	300	0	-1	-1	34919613328	18683926971
2	1	0	5	280	0	-1	-1	30891574905	17990712436
3	1	0	5	365	0	-1	-1	70546011726	18587032438
4	1	0	5	255	0	-1	-1	26884649370	13299190918
0	1	15	3	115	0	-1	-1	89037768	1312044
1	1	15	3	115	0	-1	-1	77436306	1256370
2	1	15	3	115	0	-1	-1	74918835	644336
3	1	15	3	115	0	-1	-1	72204767	554596
4	1	15	3	115	0	-1	-1	59511129	628767
0	1	14	2	171	0	-1	-1	4376211681	478972
1	1	14	2	136	0	-1	-1	1696777088	384293
2	1	14	2	175	0	-1	-1	2142017379	323003
3	1	14	2	221	0	-1	-1	3789811658	341309
4	1	14	2	215	0	-1	-1	2498730980	321329
0	3	9	10	340	1	-1	-1	3281382664	4084284740
1	3	9	10	365	1	-1	-1	3294816775	4391351919
2	3	9	10	380	1	-1	-1	3397143362	4685057119
3	3	9	10	325	1	-1	-1	3003178017	3789320899
4	3	9	10	345	1	-1	-1	3188656660	4090619331
0	3	11	12	955	0	-1	-1	177752417	64122511670
1	3	11	12	821	0	-1	-1	123923725	61387132723
2	3	11	12	805	0	-1	-1	125007850	59657029938
3	3	11	12	985	0	-1	-1	176257089	66830288495
4	3	11	12	875	0	-1	-1	131961764	58712843126
0	0	14	2	195	0	-1	-1	2904279155	260956
1	0	14	2	225	0	-1	-1	3132401481	282255
2	0	14	2	260	0	-1	-1	3166189426	295027
3	0	14	2	230	0	-1	-1	2598163416	173814
4	0	14	2	300	0	-1	-1	3562896313	245484
0	1	10	7	486	1	-1	-1	6385669248	74799756
1	1	10	7	495	1	-1	-1	6784855498	74113063
2	1	10	7	685	1	-1	-1	8081047658	438503675
3	1	10	7	496	1	-1	-1	5981315960	42627422
4	1	10	7	406	1	-1	-1	5883789038	130876902
0	2	12	13	2510	1	-1	-1	161618365388	1459742438
1	2	12	13	1276	1	-1	-1	117342877002	507087585
2	2	12	13	1590	1	-1	-1	108224512428	802622428
3	2	12	13	1345	1	-1	-1	92052153507	742884699
4	2	12	13	4000	-1	-1	-1	307479822008	2383178463
0	2	0	12	1008	0	-1	-1	21452957876	53005799107
1	2	0	12	1041	0	-1	-1	22221911033	52584223438
2	2	0	12	1380	0	-1	-1	40839285347	77678679538
3	2	0	12	1176	0	-1	-1	25985819832	57650509300
4	2	0	12	1275	1	-1	-1	29945808990	70474307751
0	2	5	2	915	0	-1	-1	86712927226	2462208
1	2	5	2	1260	0	-1	-1	120376133390	3176616
2	2	5	2	945	0	-1	-1	91620578159	2050670
3	2	5	2	870	0	-1	-1	85523348196	1772878
4	2	5	2	1265	0	-1	-1	125006459703	2862509
0	3	5	0	2165	1	-1	-1	88684622830	29948214333
1	3	5	0	2358	1	-1	-1	76836385615	33605792716
2	3	5	0	1773	1	-1	-1	96499371795	26862917860
3	3	5	0	1615	1	-1	-1	68389881923	26060826465
