tournaments.RoundRobinTournament
AIs
	multimap_small_200M_s1
	BestRL-350M
	RandomBiasedAI
	POLightRush
	POWorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	1	8	5	615	1	-1	-1	6547955276	58884291932
1	1	8	5	910	1	-1	-1	10187924011	86935005114
2	1	8	5	730	0	-1	-1	9626746910	65545886867
3	1	8	5	320	1	-1	-1	4095010773	31578801559
4	1	8	5	330	1	-1	-1	2997642119	32570686639
0	4	11	10	425	0	-1	-1	197263723	5927113903
1	4	11	10	465	0	-1	-1	84582526	6117420720
2	4	11	10	731	0	-1	-1	140283081	9320872399
3	4	11	10	699	0	-1	-1	169413355	11500160251
4	4	11	10	735	0	-1	-1	421857392	13667056004
0	3	15	2	340	0	-1	-1	150982855	595363
1	3	15	2	4000	-1	-1	-1	1526448848	6928107
2	3	15	2	425	0	-1	-1	140886414	438924
3	3	15	2	360	0	-1	-1	116224264	240610
4	3	15	2	4000	-1	-1	-1	1416504509	5577782
0	3	15	1	971	1	-1	-1	454483959	99297601014
1	3	15	1	899	1	-1	-1	314805974	81555124971
2	3	15	1	910	1	-1	-1	347082143	82960925254
3	3	15	1	1032	1	-1	-1	329400010	131113283302
4	3	15	1	660	1	-1	-1	203081963	59006381053
0	0	14	1	255	0	-1	-1	6018783688	18453487428
1	0	14	1	285	0	-1	-1	3718104898	27338224607
2	0	14	1	285	0	-1	-1	3329673931	27338224607
3	0	14	1	255	0	-1	-1	2898558677	18453487428
4	0	14	1	256	0	-1	-1	2890043460	18763920132
0	4	11	15	886	1	-1	-1	188542242	554259576
1	4	11	15	705	0	-1	-1	243276423	412779075
2	4	11	15	760	1	-1	-1	119729121	405239565
3	4	11	15	765	0	-1	-1	225329918	358216295
4	4	11	15	1278	1	-1	-1	626232572	675899692
0	2	11	15	4000	-1	-1	-1	114375364	2415045036
1	2	11	15	1031	0	-1	-1	14547623	800148407
2	2	11	15	776	0	-1	-1	8378845	593662048
3	2	11	15	940	0	-1	-1	6648653	639336384
4	2	11	15	790	0	-1	-1	8001655	488055449
0	1	14	1	187	0	-1	-1	7171567962	48814538694
1	1	14	1	205	0	-1	-1	3458786472	54744525250
2	1	14	1	248	0	-1	-1	3115649431	114298050286
3	1	14	1	205	0	-1	-1	2314340001	54744525250
4	1	14	1	206	0	-1	-1	2266886287	55577691814
0	4	2	8	490	1	-1	-1	7481391	14267048297
1	4	2	8	405	1	-1	-1	1369339	8429257817
2	4	2	8	406	1	-1	-1	744524	9085788748
3	4	2	8	475	1	-1	-1	1014749	13002312377
4	4	2	8	515	1	-1	-1	1249417	13119619049
0	2	12	11	4000	-1	-1	-1	402586481795	58578458
1	2	12	11	1569	0	-1	-1	147655011443	17454030
2	2	12	11	1190	0	-1	-1	111560125329	13499409
3	2	12	11	1355	0	-1	-1	106824630083	14644002
4	2	12	11	1235	0	-1	-1	118593507662	9615422
0	4	11	1	333	0	-1	-1	125302416	33834927460
1	4	11	1	400	0	-1	-1	74518887	42084725387
2	4	11	1	359	0	-1	-1	67457158	34765858586
3	4	11	1	365	0	-1	-1	146670959	35159352616
4	4	11	1	415	0	-1	-1	66938405	50499534222
0	3	0	11	806	1	-1	-1	88856036143	118425584
1	3	0	11	830	1	-1	-1	93019677581	104363559
2	3	0	11	1040	1	-1	-1	162045148843	146337767
3	3	0	11	877	1	-1	-1	99335912568	122126466
4	3	0	11	795	1	-1	-1	87530035775	110525786
0	4	8	5	1288	0	-1	-1	56133680097	55530331019
1	4	8	5	925	0	-1	-1	33180572809	55705132657
2	4	8	5	697	0	-1	-1	24198698903	33866233959
3	4	8	5	959	0	-1	-1	29183750962	54032196443
4	4	8	5	728	0	-1	-1	30149677729	38349360716
0	0	8	1	330	0	-1	-1	3881153432	22555846402
1	0	8	1	485	0	-1	-1	4800004777	37383130213
2	0	8	1	455	0	-1	-1	4519478586	33312328258
3	0	8	1	455	0	-1	-1	4893519991	33312328258
4	0	8	1	715	0	-1	-1	7517520680	133613054691
0	1	11	1	220	0	-1	-1	8205239	22419212339
1	1	11	1	175	0	-1	-1	4081900	6077002730
2	1	11	1	175	0	-1	-1	3561645	6077002730
3	1	11	1	170	0	-1	-1	7139032	5684849740
4	1	11	1	190	0	-1	-1	4534943	9684834697
0	4	7	8	765	0	-1	-1	132406592	10261480700
1	4	7	8	832	1	-1	-1	114838505	22913538607
2	4	7	8	1792	0	-1	-1	270014787	32701598793
3	4	7	8	445	0	-1	-1	41466425	6532282977
4	4	7	8	599	0	-1	-1	59310342	6818470352
0	0	0	11	715	1	-1	-1	79139058618	7941884
1	0	0	11	635	0	-1	-1	65569642003	2387011
2	0	0	11	655	1	-1	-1	67998832639	2868727
3	0	0	11	795	1	-1	-1	115364409198	5678671
4	0	0	11	730	1	-1	-1	81486848538	3855763
0	3	1	14	965	0	-1	-1	116044462088	21441823000
1	3	1	14	1016	0	-1	-1	145015273791	12725043665
2	3	1	14	910	0	-1	-1	101801194076	9842431499
3	3	1	14	876	0	-1	-1	97214291309	9399486530
4	3	1	14	889	1	-1	-1	99170171235	9516209926
0	0	7	8	685	0	-1	-1	36186394	7855005321
1	0	7	8	615	0	-1	-1	19974921	5516641242
2	0	7	8	612	0	-1	-1	10121103	8325342765
3	0	7	8	675	0	-1	-1	15371750	7512590071
4	0	7	8	965	1	-1	-1	24275720	12280832301
0	1	1	15	125	1	-1	-1	17189047060	148522998
1	1	1	15	261	0	-1	-1	91128524326	113322424
2	1	1	15	125	1	-1	-1	17189047060	61147552
3	1	1	15	125	1	-1	-1	17189047060	49625830
4	1	1	15	125	1	-1	-1	17189047060	53914846
0	2	2	4	4000	-1	-1	-1	59985337	57387248
1	2	2	4	4000	-1	-1	-1	17965595	47596761
2	2	2	4	4000	-1	-1	-1	8322461	21775267
3	2	2	4	4000	-1	-1	-1	7155930	20938441
4	2	2	4	4000	-1	-1	-1	7071077	21619455
0	0	7	13	495	1	-1	-1	22986777	214278384
1	0	7	13	495	1	-1	-1	13449393	178971548
2	0	7	13	495	1	-1	-1	3619146	106916173
3	0	7	13	495	1	-1	-1	3235175	103995919
4	0	7	13	495	1	-1	-1	3030425	99775656
0	2	14	15	764	0	-1	-1	11177545681	689859607
1	2	14	15	807	0	-1	-1	9900193412	737100828
2	2	14	15	736	0	-1	-1	7228871668	458115261
3	2	14	15	775	0	-1	-1	7465577910	518377569
4	2	14	15	767	0	-1	-1	7312156234	597895168
0	0	10	14	406	1	-1	-1	4984584382	5235782764
1	0	10	14	395	1	-1	-1	3784980404	4704944255
2	0	10	14	845	1	-1	-1	8373398098	10667054530
3	0	10	14	583	1	-1	-1	5974770662	6672800694
4	0	10	14	325	1	-1	-1	3686684749	3673578853
0	3	10	14	1370	0	-1	-1	15748910812	19193731010
1	3	10	14	1326	1	-1	-1	15448613647	16350544718
2	3	10	14	620	0	-1	-1	8073804478	7099427504
3	3	10	14	3325	0	-1	-1	37075350328	43360598092
4	3	10	14	1476	1	-1	-1	16440702730	16807645026
0	0	14	15	465	0	-1	-1	13265274580	175930859
1	0	14	15	405	0	-1	-1	9114823570	154905909
2	0	14	15	407	0	-1	-1	5325581947	129748257
3	0	14	15	360	0	-1	-1	4089025743	109942913
4	0	14	15	460	0	-1	-1	5779890777	144874777
0	4	9	6	855	1	-1	-1	14651617061	93071300
1	4	9	6	511	1	-1	-1	7053001954	50657045
2	4	9	6	678	1	-1	-1	13765358755	52073760
3	4	9	6	511	1	-1	-1	6547906925	26629423
4	4	9	6	784	1	-1	-1	11805968614	52127285
0	4	8	6	747	1	-1	-1	10017397324	78329466
1	4	8	6	633	0	-1	-1	15550316468	59727997
2	4	8	6	1475	0	-1	-1	32764597446	115148965
3	4	8	6	658	0	-1	-1	16111219780	34979744
4	4	8	6	623	0	-1	-1	15100774823	25533484
0	3	10	6	1205	1	-1	-1	12063048171	77566769
1	3	10	6	945	1	-1	-1	9480815285	54395878
2	3	10	6	825	0	-1	-1	9782012530	14193813
3	3	10	6	840	1	-1	-1	8485789912	15073155
4	3	10	6	975	1	-1	-1	10389472270	20361309
0	0	11	15	195	1	-1	-1	2849291	106206618
1	0	11	15	195	1	-1	-1	1196975	103695979
2	0	11	15	175	1	-1	-1	693262	73633900
3	0	11	15	195	1	-1	-1	603278	78531299
4	0	11	15	175	1	-1	-1	612580	68861360
0	3	13	0	1879	0	-1	-1	1598088470	416756805112
1	3	13	0	1879	0	-1	-1	895059672	416756805112
2	3	13	0	1879	0	-1	-1	766441740	416756805112
3	3	13	0	1879	0	-1	-1	726037819	416756805112
4	3	13	0	1879	0	-1	-1	726443964	416756805112
0	3	4	14	1108	1	-1	-1	27384874	32648869130
1	3	4	14	615	1	-1	-1	9243178	16967993093
2	3	4	14	888	1	-1	-1	9701618	15854973596
3	3	4	14	838	1	-1	-1	7010236	12733932810
4	3	4	14	808	1	-1	-1	6301671	10489153475
0	1	15	2	245	0	-1	-1	184047360	363533
1	1	15	2	660	0	-1	-1	454401452	1396573
2	1	15	2	1379	1	-1	-1	919892905	2969836
3	1	15	2	195	0	-1	-1	132310226	170311
4	1	15	2	135	0	-1	-1	99081857	157477
0	2	0	10	880	1	-1	-1	312196331786	11153598917
1	2	0	10	1200	1	-1	-1	444789359469	18375156324
2	2	0	10	825	1	-1	-1	286216745623	10004760792
3	2	0	10	1196	0	-1	-1	441595186937	14394727017
4	2	0	10	730	1	-1	-1	253892099070	9096140398
0	0	3	6	250	1	-1	-1	5127545	22456088
1	0	3	6	250	1	-1	-1	2406895	24260567
2	0	3	6	250	1	-1	-1	739637	12132831
3	0	3	6	250	1	-1	-1	479325	9969323
4	0	3	6	250	1	-1	-1	401774	9032560
0	1	13	14	545	1	-1	-1	320085288	16866783948
1	1	13	14	463	1	-1	-1	266402744	9188943082
2	1	13	14	451	1	-1	-1	168291956	5702984607
3	1	13	14	545	1	-1	-1	187104901	6328751180
4	1	13	14	515	1	-1	-1	158518156	5640906726
0	0	13	0	876	0	-1	-1	353719618	76986627028
1	0	13	0	876	0	-1	-1	202512714	76986627028
2	0	13	0	876	0	-1	-1	186604081	76986627028
3	0	13	0	876	0	-1	-1	175019787	76986627028
4	0	13	0	876	0	-1	-1	171035446	76986627028
0	2	3	1	1367	1	-1	-1	12434204	117847733058
1	2	3	1	1367	1	-1	-1	3354564	117847733058
2	2	3	1	1367	1	-1	-1	2666600	117847733058
3	2	3	1	1367	1	-1	-1	2104091	117847733058
4	2	3	1	1367	1	-1	-1	2032677	117847733058
0	4	6	11	401	1	-1	-1	28186881	171441146
1	4	6	11	470	1	-1	-1	31595112	96519020
2	4	6	11	405	1	-1	-1	8927761	100975412
3	4	6	11	405	1	-1	-1	9468063	68821862
4	4	6	11	921	1	-1	-1	51148770	194001450
0	4	4	14	288	1	-1	-1	5838605	3947294031
1	4	4	14	495	1	-1	-1	9241803	6470067164
2	4	4	14	288	1	-1	-1	2348479	3383506740
3	4	4	14	445	1	-1	-1	4159179	5341200518
4	4	4	14	475	1	-1	-1	3787925	5581349852
0	0	0	3	265	0	-1	-1	15099584286	1793447
1	0	0	3	265	0	-1	-1	15099584286	391039
2	0	0	3	265	0	-1	-1	15099584286	283021
3	0	0	3	265	0	-1	-1	15099584286	199681
4	0	0	3	265	0	-1	-1	15099584286	193220
