
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_opponent_modeling_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,733,033 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     opponent_modeling (coef=0.01)
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1/config.json

  step=  66,072  1 eps: Mayar:1L  ret=  46.00  len= 1011  WR[warming up...]
  step=  66,264  1 eps: Mayar:1L  ret=  46.00  len= 1032  WR[warming up...]
  step=  66,360  1 eps: CoacA:1L  ret=  31.00  len=  949  WR[warming up...]
  step=  67,512  1 eps: CoacA:1L  ret=  29.00  len=  886  WR[warming up...]
  step=  69,096  1 eps: POLig:1L  ret=  11.20  len=  751  WR[warming up...]
  step=  71,904  1 eps: Mayar:1L  ret=  41.00  len= 1082  WR[warming up...]
  step=  72,072  1 eps: Mayar:1L  ret=  33.00  len= 1104  WR[warming up...]
  step=  72,960  1 eps: POWor:1L  ret=  -4.80  len=  440  WR[warming up...]
  step=  77,328  1 eps: CoacA:1L  ret=  21.00  len=  797  WR[warming up...]
  step=  78,240  1 eps: POLig:1L  ret=  -1.80  len=  776  WR[warming up...]
  step=  78,336  1 eps: Mayar:1L  ret=  81.00  len= 1508  WR[warming up...]
  step=  79,176  1 eps: Mayar:1L  ret=  10.00  len=  870  WR[warming up...]
  step=  79,344  1 eps: CoacA:1L  ret=  19.00  len=  795  WR[warming up...]
  step=  79,536  1 eps: CoacA:1L  ret=  28.00  len=  893  WR[warming up...]
  step=  79,920  1 eps: Mayar:1L  ret=  85.00  len= 1541  WR[warming up...]
  step=  80,136  1 eps: Mayar:1L  ret=  52.00  len= 1407  WR[warming up...]
  step=  80,160  1 eps: CoacA:1L  ret=  26.20  len=  863  WR[warming up...]
  step=  81,216  1 eps: CoacA:1L  ret=   1.20  len=  817  WR[warming up...]
  step=  81,480  1 eps: POWor:1L  ret=  22.00  len=  645  WR[warming up...]
  step=  82,392  1 eps: CoacA:1L  ret=  15.00  len=  813  WR[warming up...]
  step=  84,912  1 eps: CoacA:1L  ret=  -6.80  len=  725  WR[warming up...]
  step=  85,440  1 eps: CoacA:1L  ret=  32.00  len=  863  WR[warming up...]
  step=  85,800  1 eps: POWor:1L  ret=  13.00  len=  535  WR[warming up...]
  step=  86,496  1 eps: Mayar:1L  ret=  32.20  len=  843  WR[warming up...]
  step=  87,744  1 eps: Mayar:1L  ret=  20.00  len=  903  WR[warming up...]
  step=  87,816  1 eps: CoacA:1L  ret=  17.00  len=  894  WR[warming up...]
  step=  89,352  1 eps: POLig:1L  ret=  39.00  len=  844  WR[warming up...]
  step=  90,312  1 eps: Mayar:1L  ret=  57.00  len= 1142  WR[warming up...]
  step=  90,960  1 eps: Mayar:1L  ret=   4.20  len=  787  WR[warming up...]
  step=  92,520  1 eps: POWor:1L  ret=  10.00  len=  460  WR[warming up...]
  step=  93,432  1 eps: Mayar:1L  ret=  35.00  len=  897  WR[warming up...]
  step=  96,000  2 eps: Rando:2D  ret= 202.50  len= 4000  WR[warming up...]
  step=  98,856  1 eps: CoacA:1L  ret=  41.00  len=  897  WR[warming up...]
  step=  99,672  1 eps: Mayar:1L  ret=  13.20  len=  823  WR[warming up...]
  step= 100,248  1 eps: CoacA:1L  ret=   4.20  len=  863  WR[warming up...]
  step= 100,368  1 eps: Mayar:1L  ret=  -5.80  len=  843  WR[warming up...]
  step= 101,160  1 eps: POWor:1L  ret=  -4.80  len=  360  WR[warming up...]
  step= 101,688  1 eps: CoacA:1L  ret=  24.20  len=  931  WR[warming up...]
  step= 101,976  1 eps: POLig:1L  ret=  39.00  len=  989  WR[warming up...]
  step= 102,816  1 eps: Mayar:1L  ret=  28.20  len=  985  WR[warming up...]
  step= 103,944  1 eps: CoacA:1L  ret=  38.00  len=  991  WR[warming up...]
  step= 104,520  1 eps: CoacA:1L  ret=  43.00  len=  922  WR[warming up...]
  step= 104,688  1 eps: CoacA:1L  ret=  43.00  len=  978  WR[warming up...]
  step= 105,600  1 eps: Mayar:1L  ret=  48.00  len= 1136  WR[warming up...]
  step= 106,680  1 eps: Mayar:1L  ret=  23.20  len=  841  WR[warming up...]
  step= 107,424  1 eps: CoacA:1L  ret=  40.60  len=  916  WR[warming up...]
  step= 108,072  1 eps: CoacA:1L  ret=  34.00  len=  965  WR[warming up...]
  step= 108,984  1 eps: CoacA:1L  ret=  26.20  len=  882  WR[warming up...]
  step= 109,080  1 eps: POLig:1L  ret=  21.00  len=  822  WR[warming up...]
  step= 109,680  1 eps: Mayar:1L  ret=  -2.80  len=  780  WR[warming up...]
