
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     aux_spatial_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,723,717 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     spatial (coef=0.1)
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/aux_spatial_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/aux_spatial_s3/config.json

  step=  66,888  1 eps: Light:1L P0  ret=  34.00  len=  959  WR[warming up...]
  step=  67,032  1 eps: Light:1L P0  ret=  77.00  len= 1118  WR[warming up...]
  step=  67,656  1 eps: Mayar:1L P0  ret=  37.00  len= 1139  WR[warming up...]
  step=  67,776  1 eps: CoacA:1L P0  ret=  39.00  len= 1083  WR[warming up...]
  step=  68,952  1 eps: CoacA:1L P0  ret=  14.20  len=  965  WR[warming up...]
  step=  69,552  1 eps: Mayar:1L P0  ret=  46.00  len= 1025  WR[warming up...]
  step=  70,128  1 eps: Mayar:1L P0  ret=  23.00  len= 1050  WR[warming up...]
  step=  70,656  1 eps: Mayar:1L P0  ret=  60.00  len= 1195  WR[warming up...]
  step=  73,032  1 eps: CoacA:1L P1  ret=  -7.80  len=  757  WR[warming up...]
  step=  74,448  1 eps: Mayar:1L P0  ret=  -0.80  len=  718  WR[warming up...]
  step=  74,880  1 eps: Worke:1L P1  ret=   0.20  len=  485  WR[warming up...]
  step=  76,032  1 eps: CoacA:1L P1  ret=  -7.80  len=  744  WR[warming up...]
  step=  78,312  1 eps: Mayar:1L P0  ret=  20.20  len=  871  WR[warming up...]
  step=  78,360  1 eps: Worke:1L P1  ret=  45.00  len= 1015  WR[warming up...]
  step=  81,528  1 eps: CoacA:1L P1  ret=   1.20  len=  740  WR[warming up...]
  step=  81,624  1 eps: CoacA:1L P1  ret=  18.20  len=  786  WR[warming up...]
  step=  83,208  1 eps: CoacA:1L P1  ret=  34.00  len=  856  WR[warming up...]
  step=  83,256  1 eps: CoacA:1L P1  ret=  33.00  len=  812  WR[warming up...]
  step=  83,640  1 eps: Mayar:1L P1  ret=  20.00  len= 1071  WR[warming up...]
  step=  87,480  1 eps: CoacA:1L P1  ret=  17.00  len=  900  WR[warming up...]
  step=  87,840  1 eps: Mayar:1L P1  ret=  52.00  len= 1100  WR[warming up...]
  step=  88,128  1 eps: Light:1L P1  ret=  27.00  len=  879  WR[warming up...]
  step=  88,320  1 eps: Worke:1L P0  ret=  -4.80  len=  415  WR[warming up...]
  step=  88,800  1 eps: CoacA:1L P1  ret=  30.20  len=  876  WR[warming up...]
  step=  89,160  1 eps: Rando:1L P0  ret=   1.20  len= 3715  WR[warming up...]
  step=  90,888  1 eps: Mayar:1L P1  ret=   8.20  len=  889  WR[warming up...]
  step=  91,512  1 eps: CoacA:1L P1  ret=  21.00  len=  940  WR[warming up...]
  step=  93,144  1 eps: Mayar:1L P1  ret=  20.20  len=  937  WR[warming up...]
  step=  94,896  1 eps: Light:1L P1  ret=  66.00  len= 1167  WR[warming up...]
  step=  95,640  1 eps: CoacA:1L P0  ret=  31.00  len=  942  WR[warming up...]
  step=  96,000  1 eps: Rando:1D P0  ret= 155.00  len= 4000  WR[warming up...]
  step=  96,240  1 eps: Mayar:1L P1  ret=  59.00  len= 1088  WR[warming up...]
  step=  96,336  1 eps: Mayar:1L P1  ret=  76.00  len= 1254  WR[warming up...]
  step=  98,640  1 eps: CoacA:1L P0  ret=   6.20  len=  942  WR[warming up...]
  step=  99,456  1 eps: CoacA:1L P0  ret=  -1.80  len=  747  WR[warming up...]
  step=  99,504  1 eps: Mayar:1L P1  ret=  70.00  len= 1327  WR[warming up...]
  step= 100,080  1 eps: Mayar:1L P1  ret=  -1.80  len=  907  WR[warming up...]
  step= 105,144  1 eps: CoacA:1L P0  ret=  35.00  len=  980  WR[warming up...]
  step= 105,168  1 eps: CoacA:1L P0  ret=  28.00  len=  913  WR[warming up...]
  step= 105,216  1 eps: Mayar:1L P1  ret=  90.20  len= 1282  WR[warming up...]
  step= 106,512  1 eps: CoacA:1L P0  ret=  29.20  len=  971  WR[warming up...]
  step= 106,776  1 eps: Light:1L P0  ret=  19.20  len=  777  WR[warming up...]
  step= 108,432  1 eps: Mayar:1L P0  ret=  23.20  len=  858  WR[warming up...]
  step= 108,480  1 eps: CoacA:1L P0  ret=   0.20  len=  820  WR[warming up...]
  step= 109,200  1 eps: Worke:1L P0  ret=  92.20  len= 1430  WR[warming up...]
  step= 109,824  1 eps: CoacA:1L P0  ret=  28.00  len=  931  WR[warming up...]
  step= 114,360  1 eps: Light:1L P0  ret=  40.00  len=  811  WR[warming up...]
  step= 116,784  1 eps: CoacA:1L P1  ret=   1.20  len=  722  WR[warming up...]
  step= 116,880  1 eps: CoacA:1L P1  ret=  40.00  len=  885  WR[warming up...]
  step= 118,128  1 eps: Mayar:1L P0  ret=  60.00  len= 1135  WR[warming up...]
  step= 118,248  1 eps: CoacA:1L P0  ret=  58.20  len= 1114  WR[warming up...]
  step= 118,800  1 eps: Mayar:1L P0  ret=  79.20  len= 1465  WR[warming up...]
  step= 121,104  1 eps: CoacA:1L P1  ret=  31.20  len=  936  WR[warming up...]
  step= 123,456  1 eps: Mayar:1L P0  ret=  51.20  len=  998  WR[warming up...]
  step= 124,848  1 eps: Mayar:1L P0  ret=  83.00  len= 1321  WR[warming up...]
  step= 125,088  1 eps: CoacA:1L P1  ret=   2.20  len=  830  WR[warming up...]
  step= 125,304  1 eps: Mayar:1L P0  ret=  37.20  len= 1051  WR[warming up...]
  step= 125,928  1 eps: Light:1L P1  ret=  40.40  len=  798  WR[warming up...]
  step= 126,024  1 eps: CoacA:1L P1  ret=  14.20  len=  870  WR[Coac=0%]
  step= 126,312  1 eps: CoacA:1L P1  ret=  26.00  len=  825  WR[Coac=0%]
  step= 126,360  1 eps: Worke:1L P1  ret=  83.00  len= 1585  WR[Coac=0%]
  step= 127,080  1 eps: Worke:1L P1  ret=  41.60  len=  745  WR[Coac=0%]
  step= 127,872  1 eps: CoacA:1L P1  ret=  20.20  len=  808  WR[Coac=0%]
  step= 128,400  1 eps: CoacA:1L P1  ret=   7.20  len=  774  WR[Coac=0%]
  step= 133,032  1 eps: Mayar:1L P0  ret=  92.00  len= 1529  WR[Coac=0%]
  step= 136,104  1 eps: CoacA:1L P0  ret=  13.20  len=  805  WR[Coac=0%]
