tournaments.RoundRobinTournament
AIs
	UECD-MultiMap
	UECD-SingleMap-Best
	RandomBiasedAI
	LightRush
	WorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	4	7	14	420	1	-1	-1	48418745	4995631489
1	4	7	14	442	1	-1	-1	50920145	5374340488
2	4	7	14	435	1	-1	-1	35209783	4872139088
3	4	7	14	424	1	-1	-1	31990983	4694876767
4	4	7	14	434	1	-1	-1	31855179	4796959249
0	2	14	1	848	0	-1	-1	11788746353	16594148258
1	2	14	1	760	0	-1	-1	9890362010	14941327285
2	2	14	1	869	0	-1	-1	8612814488	19972395520
3	2	14	1	779	0	-1	-1	7473231179	15115348629
4	2	14	1	856	0	-1	-1	8173091009	17406096734
0	3	7	14	796	1	-1	-1	52866730	9381122518
1	3	7	14	663	1	-1	-1	48303393	7965639724
2	3	7	14	693	1	-1	-1	34026788	7646623289
3	3	7	14	662	1	-1	-1	31454046	7220507539
4	3	7	14	679	1	-1	-1	28761445	7396632349
0	1	8	15	275	1	-1	-1	2758796915	201547239
1	1	8	15	305	1	-1	-1	2921255520	201801920
2	1	8	15	275	1	-1	-1	2764150178	171984442
3	1	8	15	325	1	-1	-1	3095774596	261908306
4	1	8	15	305	1	-1	-1	2733069275	174178089
0	3	10	15	635	0	-1	-1	6587264034	211795891
1	3	10	15	670	0	-1	-1	6909329268	244804909
2	3	10	15	450	0	-1	-1	4781432586	137828796
3	3	10	15	600	0	-1	-1	6173417417	182427278
4	3	10	15	675	0	-1	-1	9754924209	209412104
0	1	3	15	135	1	-1	-1	2903684	89340857
1	1	3	15	135	1	-1	-1	2092016	93063356
2	1	3	15	135	1	-1	-1	935840	82382702
3	1	3	15	135	1	-1	-1	878817	79673027
4	1	3	15	135	1	-1	-1	885424	77186892
0	0	7	3	240	0	-1	-1	10120252	1295839
1	0	7	3	240	0	-1	-1	11235176	1872808
2	0	7	3	240	0	-1	-1	2875822	432132
3	0	7	3	240	0	-1	-1	1996881	375467
4	0	7	3	240	0	-1	-1	1797946	317665
0	3	15	10	610	1	-1	-1	348051012	6979148684
1	3	15	10	600	1	-1	-1	339595178	6388775013
2	3	15	10	610	1	-1	-1	297676020	6475511696
3	3	15	10	475	1	-1	-1	216255396	5095060018
4	3	15	10	635	1	-1	-1	301165145	7169368204
0	3	13	8	1329	1	-1	-1	70501380	28016743797
1	3	13	8	1285	0	-1	-1	41330849	21135294723
2	3	13	8	983	0	-1	-1	27546645	14787659930
3	3	13	8	1169	1	-1	-1	25860515	22070594308
4	3	13	8	1159	1	-1	-1	22987230	22233551425
0	2	11	1	975	0	-1	-1	46968263	219881594760
1	2	11	1	960	0	-1	-1	29272304	215131381076
2	2	11	1	1040	1	-1	-1	9971060	260985881360
3	2	11	1	895	0	-1	-1	12017693	198199850002
4	2	11	1	1026	0	-1	-1	27312172	245323430819
0	3	8	15	340	1	-1	-1	3256407749	212929759
1	3	8	15	375	1	-1	-1	3611076404	246364998
2	3	8	15	355	1	-1	-1	2796290018	197011068
3	3	8	15	335	1	-1	-1	2798683146	184433994
4	3	8	15	335	1	-1	-1	2799764098	175787041
0	1	7	14	370	1	-1	-1	170996015	5095823510
1	1	7	14	366	1	-1	-1	139843577	4526598060
2	1	7	14	370	1	-1	-1	157793217	4177468781
3	1	7	14	365	1	-1	-1	155070539	4060570710
4	1	7	14	340	1	-1	-1	149361365	3769423460
0	4	14	1	657	0	-1	-1	25058239575	163081022112
1	4	14	1	323	0	-1	-1	4700307576	70302470156
2	4	14	1	607	0	-1	-1	7669438004	142939244680
3	4	14	1	638	0	-1	-1	7503510254	153533421171
4	4	14	1	656	0	-1	-1	7390637022	162230490010
0	4	3	15	435	0	-1	-1	9477167	316881091
1	4	3	15	433	0	-1	-1	7850706	351645458
2	4	3	15	464	0	-1	-1	4119285	310719323
3	4	3	15	532	0	-1	-1	5065552	360612999
4	4	3	15	435	0	-1	-1	3106793	272597069
0	3	6	2	856	0	-1	-1	64030526	900763
1	3	6	2	930	0	-1	-1	91921260	1305732
2	3	6	2	815	0	-1	-1	21575314	332674
3	3	6	2	795	0	-1	-1	14938558	295193
4	3	6	2	835	0	-1	-1	14238934	256116
0	1	6	10	495	0	-1	-1	94659301	6111753576
1	1	6	10	465	0	-1	-1	83327338	5980526592
2	1	6	10	420	0	-1	-1	49423711	5380277020
3	1	6	10	525	0	-1	-1	59497012	6483700930
4	1	6	10	426	0	-1	-1	63694144	4790887423
0	4	12	10	599	1	-1	-1	33251997101	17560293583
1	4	12	10	1744	1	-1	-1	99827902145	72568908143
2	4	12	10	760	1	-1	-1	38715165134	25564734638
3	4	12	10	778	1	-1	-1	33888808965	37380866442
4	4	12	10	949	1	-1	-1	56104927242	34474199921
0	2	14	5	888	0	-1	-1	21050669685	38925133093
1	2	14	5	1050	0	-1	-1	14321624851	42377370272
2	2	14	5	1006	0	-1	-1	10884612558	39600145313
3	2	14	5	1055	0	-1	-1	11459912377	47165798624
4	2	14	5	945	0	-1	-1	10434323710	43472213131
0	2	3	15	1609	0	-1	-1	31443658	1595886280
1	2	3	15	1066	0	-1	-1	11939745	993684319
2	2	3	15	1622	0	-1	-1	13813463	1342711233
3	2	3	15	1005	0	-1	-1	4075266	785187096
4	2	3	15	1620	0	-1	-1	8911497	1401923457
0	2	11	4	2055	0	-1	-1	46477499	25850173
1	2	11	4	1816	0	-1	-1	29482757	23301481
2	2	11	4	725	0	-1	-1	5899404	2668878
3	2	11	4	828	0	-1	-1	7089807	3006868
4	2	11	4	4000	-1	-1	-1	56759393	43538962
0	0	10	1	210	0	-1	-1	2891788913	61785432489
1	0	10	1	195	0	-1	-1	2299007172	52002988793
2	0	10	1	210	0	-1	-1	2699310757	61785432489
3	0	10	1	195	0	-1	-1	2299596227	52002988793
4	0	10	1	195	0	-1	-1	2299782575	52002988793
0	0	1	14	266	1	-1	-1	62296638163	9811965355
1	0	1	14	256	1	-1	-1	56047428782	3712087346
2	0	1	14	256	1	-1	-1	56047428782	3258796623
3	0	1	14	256	1	-1	-1	56047428782	2981115849
4	0	1	14	266	1	-1	-1	62296638163	2964593213
0	2	14	6	824	0	-1	-1	24616728639	67479574
1	2	14	6	730	0	-1	-1	7584570340	53639819
2	2	14	6	741	0	-1	-1	7140667369	42563038
3	2	14	6	892	1	-1	-1	10077895098	62003662
4	2	14	6	1242	0	-1	-1	17794003303	75941264
0	3	1	3	882	0	-1	-1	59807038841	6658622
1	3	1	3	882	0	-1	-1	59807038841	1915546
2	3	1	3	882	0	-1	-1	59807038841	1468282
3	3	1	3	882	0	-1	-1	59807038841	1252225
4	3	1	3	882	0	-1	-1	59807038841	1212920
0	1	10	15	481	1	-1	-1	5785179177	574438060
1	1	10	15	481	1	-1	-1	5584782160	560653437
2	1	10	15	505	1	-1	-1	5182842834	511741525
3	1	10	15	475	1	-1	-1	4984251005	493683914
4	1	10	15	255	1	-1	-1	2590371859	173429597
0	1	14	12	210	0	-1	-1	5257359642	12852080917
1	1	14	12	185	0	-1	-1	2411725425	10970843906
2	1	14	12	225	0	-1	-1	3377632323	12691645487
3	1	14	12	240	0	-1	-1	3298914208	15109251355
4	1	14	12	226	0	-1	-1	2833702075	12990882982
0	3	3	15	320	1	-1	-1	4986190	209054106
1	3	3	15	330	1	-1	-1	2948395	203706610
2	3	3	15	330	1	-1	-1	1060336	173329229
3	3	3	15	320	1	-1	-1	904652	166249432
4	3	3	15	320	1	-1	-1	859832	164385306
0	4	4	8	660	1	-1	-1	14313318	20527502697
1	4	4	8	539	1	-1	-1	7129071	10914375307
2	4	4	8	449	1	-1	-1	3002229	12278660204
3	4	4	8	396	1	-1	-1	2543773	11193641058
4	4	4	8	405	1	-1	-1	2585707	10111262994
0	1	15	10	275	0	-1	-1	280438300	3391162273
1	1	15	10	275	0	-1	-1	284906283	3387506918
2	1	15	10	305	0	-1	-1	290236169	3983718112
3	1	15	10	280	0	-1	-1	244186245	3488895905
4	1	15	10	280	0	-1	-1	259676748	3386619576
0	0	12	3	295	0	-1	-1	27947845075	1647387
1	0	12	3	345	0	-1	-1	32970773721	2011110
2	0	12	3	330	0	-1	-1	31882963755	1810043
3	0	12	3	335	0	-1	-1	31903433499	1886289
4	0	12	3	305	0	-1	-1	29367754364	1666060
0	1	0	6	705	0	-1	-1	312624384078	98454194
1	1	0	6	620	0	-1	-1	204199072294	48909690
2	1	0	6	585	0	-1	-1	180874201426	39593746
3	1	0	6	570	0	-1	-1	173355241247	37569331
4	1	0	6	535	0	-1	-1	158873879088	34419465
0	4	10	15	510	0	-1	-1	15735163895	393639771
1	4	10	15	438	0	-1	-1	11447385222	330190615
2	4	10	15	453	0	-1	-1	12442075845	308958831
3	4	10	15	446	0	-1	-1	13943521456	305445875
4	4	10	15	479	0	-1	-1	14931838742	335368438
0	4	8	15	705	0	-1	-1	11861092271	552662110
1	4	8	15	514	0	-1	-1	11420344146	397447173
2	4	8	15	447	0	-1	-1	11060866647	318168241
3	4	8	15	485	0	-1	-1	12241964167	342814066
4	4	8	15	472	0	-1	-1	12523997481	332304946
0	1	12	10	425	1	-1	-1	40875935183	7097982366
1	1	12	10	545	0	-1	-1	52019592913	7499351425
2	1	12	10	930	0	-1	-1	92312803060	12098986849
3	1	12	10	1395	1	-1	-1	123619459800	17990228691
4	1	12	10	355	1	-1	-1	31906251349	5999667208
0	0	14	9	1436	0	-1	-1	29478320168	13780290295
1	0	14	9	1437	0	-1	-1	17314101518	13781225003
2	0	14	9	3000	-1	-1	-1	60453576480	28712411126
3	0	14	9	1455	0	-1	-1	16129671338	14259727710
4	0	14	9	605	0	-1	-1	6590837209	6751703208
0	0	8	15	670	0	-1	-1	6748673865	472757272
1	0	8	15	500	0	-1	-1	4770204442	335183981
2	0	8	15	460	0	-1	-1	6209608297	277476422
3	0	8	15	360	0	-1	-1	4686976582	218297647
4	0	8	15	290	0	-1	-1	3243510385	169602968
0	1	10	9	295	0	-1	-1	4887865311	4828659066
1	1	10	9	600	1	-1	-1	8864810857	11195220233
2	1	10	9	350	1	-1	-1	5675295833	6367860334
3	1	10	9	440	1	-1	-1	6776384443	7448522933
4	1	10	9	375	1	-1	-1	6374306644	5599390908
0	2	8	5	1190	0	-1	-1	14118275287	104254333138
1	2	8	5	1455	0	-1	-1	28716104110	107847682253
2	2	8	5	1095	0	-1	-1	16568856055	88822070576
3	2	8	5	1025	0	-1	-1	16826165059	83425922920
4	2	8	5	1115	0	-1	-1	15016838114	95051995933
0	2	6	10	1100	0	-1	-1	117890526	10204496209
1	2	6	10	1195	0	-1	-1	113144797	11871607829
2	2	6	10	955	0	-1	-1	48425538	8087053641
3	2	6	10	1060	0	-1	-1	48128780	10666693050
4	2	6	10	920	0	-1	-1	37814900	9083333483
0	3	6	10	405	1	-1	-1	24667381	4778998565
1	3	6	10	515	1	-1	-1	25000183	5987732493
2	3	6	10	395	1	-1	-1	6254057	4492607143
3	3	6	10	515	1	-1	-1	10105433	5986427255
4	3	6	10	415	1	-1	-1	5388592	4786453678
0	0	12	8	1175	1	-1	-1	112752396237	12148755051
1	0	12	8	1455	1	-1	-1	134571470470	15614720031
2	0	12	8	1270	1	-1	-1	99820946528	15878023370
3	0	12	8	685	1	-1	-1	59116502234	7523062254
4	0	12	8	1680	1	-1	-1	162089670646	16039444667
0	4	9	15	464	0	-1	-1	13042266380	300208551
1	4	9	15	555	0	-1	-1	10953133639	345291812
2	4	9	15	580	0	-1	-1	13669944657	343434464
3	4	9	15	475	0	-1	-1	11984820323	264795523
4	4	9	15	462	1	-1	-1	4899556566	235976273
0	0	0	8	1175	0	-1	-1	203028539687	11357353320
1	0	0	8	1320	1	-1	-1	289907347694	13564641900
2	0	0	8	885	0	-1	-1	121217255340	7879004392
3	0	0	8	735	0	-1	-1	102024858955	6788978541
4	0	0	8	1035	0	-1	-1	152594404216	11307574183
0	1	3	1	141	1	-1	-1	1432349	4891603549
1	1	3	1	141	1	-1	-1	441175	4891603549
2	1	3	1	141	1	-1	-1	320950	4891603549
3	1	3	1	141	1	-1	-1	311018	4891603549
4	1	3	1	141	1	-1	-1	301737	4891603549
0	2	2	14	794	1	-1	-1	8281961	9420204846
1	2	2	14	766	1	-1	-1	2627242	7985688775
2	2	2	14	807	1	-1	-1	1531414	7869793796
3	2	2	14	711	1	-1	-1	957231	6797258622
4	2	2	14	756	1	-1	-1	927353	7198335423
0	0	11	4	285	1	-1	-1	4232808	2026193
1	0	11	4	285	1	-1	-1	1935022	1998242
2	0	11	4	285	1	-1	-1	1016136	571120
3	0	11	4	285	1	-1	-1	849064	482980
4	0	11	4	285	1	-1	-1	804361	448843
0	1	15	7	310	0	-1	-1	327414713	67122886
1	1	15	7	310	0	-1	-1	335374196	69317398
2	1	15	7	310	0	-1	-1	312001925	60069509
3	1	15	7	310	0	-1	-1	302580595	59459217
4	1	15	7	310	0	-1	-1	300048822	58873209
0	0	8	10	1095	0	-1	-1	17004489281	12498767480
1	0	8	10	1345	1	-1	-1	14926216451	17294299416
2	0	8	10	635	0	-1	-1	8243512821	6600847010
3	0	8	10	925	0	-1	-1	11329830009	9100695085
4	0	8	10	895	0	-1	-1	10751752714	10698446059
0	0	7	14	296	1	-1	-1	11313765	4314266571
1	0	7	14	587	1	-1	-1	24639493	7454197633
2	0	7	14	298	1	-1	-1	6286595	3349711758
3	0	7	14	296	1	-1	-1	5100934	3288512102
4	0	7	14	296	1	-1	-1	5099475	3275451778
0	2	2	13	4000	-1	-1	-1	38405242	97684156
1	2	2	13	1315	1	-1	-1	3982183	29778172
2	2	2	13	1275	1	-1	-1	1962852	13570949
3	2	2	13	1635	1	-1	-1	2755583	19096450
4	2	2	13	1600	1	-1	-1	2111396	14973490
0	0	2	1	630	1	-1	-1	1152526	9581863698
1	0	2	1	556	1	-1	-1	197837	8310060517
2	0	2	1	666	1	-1	-1	161881	10638448603
3	0	2	1	651	1	-1	-1	233810	10087392960
4	0	2	1	797	1	-1	-1	162838	19507768656
0	4	7	3	510	0	-1	-1	61457655	3072082
1	4	7	3	510	0	-1	-1	59188238	3511649
2	4	7	3	510	0	-1	-1	38595498	1283031
3	4	7	3	510	0	-1	-1	35445526	1017910
4	4	7	3	510	0	-1	-1	36601116	969945
0	3	0	3	1306	1	-1	-1	15174326954	14387665
1	3	0	3	1306	1	-1	-1	15174326954	4819648
2	3	0	3	1306	1	-1	-1	15174326954	4002272
3	3	0	3	1306	1	-1	-1	15174326954	3585458
4	3	0	3	1306	1	-1	-1	15174326954	3340782
0	0	2	13	215	1	-1	-1	2394970	5081086
1	0	2	13	205	1	-1	-1	506948	4383675
2	0	2	13	225	1	-1	-1	318252	1607297
3	0	2	13	205	1	-1	-1	183695	661940
4	0	2	13	405	1	-1	-1	1948820	3746188
0	4	8	1	573	0	-1	-1	14363484082	12351668967
1	4	8	1	750	0	-1	-1	19128976382	15203951213
2	4	8	1	830	0	-1	-1	21491595586	18471297183
3	4	8	1	671	0	-1	-1	18493733754	13595677945
4	4	8	1	689	0	-1	-1	18623407207	13883609798
0	0	15	10	415	1	-1	-1	216031122	4978512654
1	0	15	10	415	1	-1	-1	211095200	5273451014
2	0	15	10	460	1	-1	-1	198795984	4976397006
3	0	15	10	470	1	-1	-1	197780135	4673050238
4	0	15	10	425	1	-1	-1	174940277	4677811669
0	3	14	1	885	1	-1	-1	26874797094	132406702434
1	3	14	1	885	1	-1	-1	13007010045	132406702434
2	3	14	1	1250	1	-1	-1	15473729065	358931184784
3	3	14	1	699	0	-1	-1	7900469757	127584849489
4	3	14	1	890	1	-1	-1	9820633116	133988166392
0	1	0	10	341	0	-1	-1	5777662936	5081543779
1	1	0	10	355	0	-1	-1	6053513162	4097655500
2	1	0	10	360	0	-1	-1	6247033971	4398150496
3	1	0	10	335	0	-1	-1	5699774059	4199279414
4	1	0	10	355	0	-1	-1	6053513162	4698034722
0	3	11	4	735	0	-1	-1	94810412	6281330
1	3	11	4	790	0	-1	-1	100788404	7889883
2	3	11	4	795	0	-1	-1	90806369	3374285
3	3	11	4	835	0	-1	-1	107711013	3288929
4	3	11	4	835	0	-1	-1	99574156	2931253
0	4	1	8	508	1	-1	-1	9370812106	11332123413
1	4	1	8	428	1	-1	-1	7811865614	9898186857
2	4	1	8	562	1	-1	-1	13557791827	9338676431
3	4	1	8	539	1	-1	-1	10856994489	11520431381
4	4	1	8	478	0	-1	-1	8786546873	5441565989
0	3	1	8	620	0	-1	-1	11413136364	6523803999
1	3	1	8	768	0	-1	-1	17456177587	10901435699
2	3	1	8	1115	0	-1	-1	44422985409	16738308330
3	3	1	8	590	0	-1	-1	10570627583	7175372555
4	3	1	8	640	0	-1	-1	12062985446	7633980897
0	2	9	12	960	0	-1	-1	13401985443	72112913120
1	2	9	12	1255	0	-1	-1	18853619168	87276602728
2	2	9	12	1065	0	-1	-1	15017898180	81061181875
3	2	9	12	1145	0	-1	-1	14767701587	91407566254
4	2	9	12	895	0	-1	-1	11982678382	72945634008
0	2	4	8	970	1	-1	-1	18991605	11565067190
1	2	4	8	910	1	-1	-1	8206975	10290404331
2	2	4	8	900	1	-1	-1	4209831	11835161959
3	2	4	8	970	1	-1	-1	4695382	14240905504
4	2	4	8	960	1	-1	-1	4300193	15111604026
0	1	7	3	145	0	-1	-1	7528752	1203267
1	1	7	3	145	0	-1	-1	6531246	1123751
2	1	7	3	145	0	-1	-1	3185957	441088
3	1	7	3	145	0	-1	-1	2914451	381006
4	1	7	3	145	0	-1	-1	2863511	336458
0	4	8	14	1215	1	-1	-1	25839005319	28439966004
1	4	8	14	379	1	-1	-1	4257718115	4990351182
2	4	8	14	305	1	-1	-1	3810207828	3805611519
3	4	8	14	475	1	-1	-1	5445732583	6221470047
4	4	8	14	565	1	-1	-1	8447757792	6803073177
0	1	1	14	497	1	-1	-1	20572012069	11027052877
1	1	1	14	431	1	-1	-1	18305961203	6799495064
2	1	1	14	440	1	-1	-1	18485927356	6003844883
3	1	1	14	530	1	-1	-1	24698042061	6545160321
4	1	1	14	490	1	-1	-1	20126074272	5789259218
0	0	10	15	165	1	-1	-1	1593908562	64516772
1	0	10	15	265	1	-1	-1	2487182419	109678634
2	0	10	15	480	0	-1	-1	5074221551	180006230
3	0	10	15	175	1	-1	-1	1692613274	56934727
4	0	10	15	470	0	-1	-1	5672907876	159420629
0	2	0	15	835	0	-1	-1	230543607336	1036956594
1	2	0	15	926	0	-1	-1	283011174274	923073488
2	2	0	15	988	0	-1	-1	355356025853	952557251
3	2	0	15	830	0	-1	-1	227901372627	760131660
4	2	0	15	947	0	-1	-1	296479559622	765799434
0	3	14	9	435	0	-1	-1	11858866035	4088240184
1	3	14	9	445	0	-1	-1	6921567122	4275985645
2	3	14	9	445	0	-1	-1	5851491261	4279460383
3	3	14	9	448	0	-1	-1	5861832431	4275557833
4	3	14	9	446	0	-1	-1	5553261309	4184404790
0	1	13	6	3000	-1	-1	-1	67801171	521369837
1	1	13	6	3000	-1	-1	-1	48996036	485607180
2	1	13	6	3000	-1	-1	-1	21237481	302799798
3	1	13	6	3000	-1	-1	-1	19294593	273005040
4	1	13	6	3000	-1	-1	-1	18569350	260585525
0	4	5	6	875	1	-1	-1	13269117835	92201506
1	4	5	6	804	1	-1	-1	12772404163	78184561
2	4	5	6	1205	1	-1	-1	21163508712	101787188
3	4	5	6	1075	1	-1	-1	15270345765	80657221
4	4	5	6	1015	1	-1	-1	13062080714	64996852
0	2	0	3	852	0	-1	-1	265893512405	7508534
1	2	0	3	852	0	-1	-1	265893512405	2119126
2	2	0	3	852	0	-1	-1	265893512405	1857306
3	2	0	3	852	0	-1	-1	265893512405	1467024
4	2	0	3	852	0	-1	-1	265893512405	1364217
0	0	5	6	805	1	-1	-1	53363637628	69371750
1	0	5	6	935	1	-1	-1	68741582873	72839048
2	0	5	6	770	1	-1	-1	44520781091	54721080
3	0	5	6	865	1	-1	-1	72662251081	59750192
4	0	5	6	855	1	-1	-1	59433190837	69042410
0	3	4	8	340	0	-1	-1	6875700	2795889964
1	3	4	8	340	0	-1	-1	3549527	2797220542
2	3	4	8	385	0	-1	-1	2746294	3428495831
3	3	4	8	340	0	-1	-1	1761277	2801234123
4	3	4	8	340	0	-1	-1	1680611	2802658824
0	3	2	13	697	1	-1	-1	4207876	12467474
1	3	2	13	749	1	-1	-1	2319474	13195288
2	3	2	13	721	1	-1	-1	909116	4974072
3	3	2	13	758	1	-1	-1	1099491	5566045
4	3	2	13	845	1	-1	-1	1697400	8640426
0	4	6	10	939	0	-1	-1	103243231	17394129445
1	4	6	10	830	1	-1	-1	58181993	19750272195
2	4	6	10	1115	0	-1	-1	90208451	18553766059
3	4	6	10	539	1	-1	-1	19523068	15057895220
4	4	6	10	1475	0	-1	-1	60974667	22045730412
0	1	9	15	355	1	-1	-1	3502343833	363236969
1	1	9	15	355	1	-1	-1	3517829594	365928696
2	1	9	15	355	1	-1	-1	3498020720	322211419
3	1	9	15	355	1	-1	-1	3515011230	319737332
4	1	9	15	355	1	-1	-1	3510634333	322393904
0	4	10	9	534	0	-1	-1	19942472839	10274843055
1	4	10	9	519	0	-1	-1	15652322496	10825693263
2	4	10	9	447	0	-1	-1	13462413702	6283052483
3	4	10	9	423	0	-1	-1	13264844953	7427252665
4	4	10	9	647	0	-1	-1	22442801609	16832690908
0	3	9	15	345	1	-1	-1	3184556204	227459872
1	3	9	15	315	1	-1	-1	2698810733	199356892
2	3	9	15	350	1	-1	-1	3280963384	188977561
3	3	9	15	345	1	-1	-1	3283026527	178424945
4	3	9	15	355	1	-1	-1	3377501795	183608237
0	1	4	8	295	1	-1	-1	6028966	5077329962
1	1	4	8	300	1	-1	-1	4062393	5106509746
2	1	4	8	265	1	-1	-1	2133747	4283630986
3	1	4	8	260	1	-1	-1	2054334	4375395983
4	1	4	8	375	1	-1	-1	3149026	6452407357
0	0	5	12	1335	1	-1	-1	116013932395	133365239878
1	0	5	12	1250	0	-1	-1	118987978166	116561863085
2	0	5	12	1130	0	-1	-1	110996837144	110196315235
3	0	5	12	900	0	-1	-1	65040372702	81393202229
4	0	5	12	525	0	-1	-1	52072229285	43478928222
0	0	13	8	355	0	-1	-1	11948519	3151193135
1	0	13	8	345	0	-1	-1	3337740	3064051517
2	0	13	8	345	0	-1	-1	2534704	3067709962
3	0	13	8	915	0	-1	-1	12381927	8560872465
4	0	13	8	335	0	-1	-1	2545623	2973914925
0	0	0	10	705	0	-1	-1	153493609000	6974556770
