tournaments.RoundRobinTournament
AIs
	UECD-MultiMap
	UECD-SingleMap-Best
	RandomBiasedAI
	LightRush
	WorkerRush
	NaiveMCTS
	CoacAI
	Mayari
	MixedBot
	Tiamat
	Droplet
	ObiBotKenobi
	StrategyTactics
	TMA
	RAISocketAI
	UtsImass
maps
	maps/open_competition/basesWorkers8x8A.xml	maxGameLength=3000
	maps/open_competition/FourBasesWorkers8x8.xml	maxGameLength=3000
	maps/open_competition/NoWhereToRun9x8.xml	maxGameLength=4000
	maps/open_competition/basesWorkers16x16A.xml	maxGameLength=4000
	maps/open_competition/TwoBasesBarracks16x16.xml	maxGameLength=4000
iterations	5
timeBudget	100
iterationsBudget	-1
pregameAnalysisBudget	3600000	3600000
preAnalysis	true
fullObservability	true
timeoutCheck	false
runGC	true
iteration	map	ai1	ai2	time	winner	crashed	timedout	ai1_time_ns	ai2_time_ns
0	4	14	0	397	0	-1	-1	6933287805	12658020302
1	4	14	0	467	0	-1	-1	8094502774	18124681186
2	4	14	0	397	0	-1	-1	4727609629	12658020302
3	4	14	0	563	0	-1	-1	6465400916	37513464238
4	4	14	0	998	0	-1	-1	11399756215	275706600406
0	4	14	4	344	0	-1	-1	3945051806	8788566
1	4	14	4	286	0	-1	-1	3492713844	7071094
2	4	14	4	366	0	-1	-1	4161098209	5325881
3	4	14	4	322	0	-1	-1	3576914997	3920373
4	4	14	4	388	0	-1	-1	4323166836	4647600
0	0	2	11	585	1	-1	-1	5589704	16966386
1	0	2	11	590	1	-1	-1	1753146	11382529
2	0	2	11	595	1	-1	-1	951330	8609068
3	0	2	11	300	1	-1	-1	382952	4265799
4	0	2	11	335	1	-1	-1	376824	4227805
0	0	2	0	306	1	-1	-1	1111246	20111180456
1	0	2	0	250	1	-1	-1	86196	16511075962
2	0	2	0	399	1	-1	-1	211129	20650884650
3	0	2	0	536	1	-1	-1	173114	22595572776
4	0	2	0	440	1	-1	-1	140285	20991725593
0	3	15	9	786	0	-1	-1	336242557	11678777153
1	3	15	9	825	0	-1	-1	416140883	10489696515
2	3	15	9	700	0	-1	-1	264795576	8904394061
3	3	15	9	1055	0	-1	-1	441202761	16074416924
4	3	15	9	860	0	-1	-1	331486687	12192757338
0	1	10	0	305	1	-1	-1	3689259707	25864667957
1	1	10	0	315	1	-1	-1	4096644963	28309707737
2	1	10	0	245	1	-1	-1	3697696841	22075095516
3	1	10	0	315	1	-1	-1	3931689187	28309707737
4	1	10	0	310	1	-1	-1	3909234699	26293935392
0	1	10	13	395	1	-1	-1	4489511548	250666143
1	1	10	13	395	1	-1	-1	4285705203	234509206
2	1	10	13	360	1	-1	-1	4484413621	213956401
3	1	10	13	255	1	-1	-1	3191890672	132258330
4	1	10	13	445	1	-1	-1	5581740361	264745444
0	4	9	13	532	1	-1	-1	8894177567	486497672
1	4	9	13	1303	0	-1	-1	38389027001	1026074354
2	4	9	13	533	1	-1	-1	10115764148	478623219
