
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     pae_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  PAE:          keep first 486/512 steps (95%)
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s3/config.json

  step=  64,680  1 eps: Mayar:1L P0  ret=  21.00  len=  957  WR[warming up...]
  step=  66,072  1 eps: Mayar:1L P0  ret=  17.20  len=  915  WR[warming up...]
  step=  66,720  1 eps: CoacA:1L P0  ret=  41.20  len=  990  WR[warming up...]
  step=  66,960  1 eps: Worke:1L P0  ret=  19.00  len=  625  WR[warming up...]
  step=  69,168  1 eps: Mayar:1L P0  ret=  35.00  len= 1034  WR[warming up...]
  step=  69,384  1 eps: CoacA:1L P0  ret=  47.00  len= 1023  WR[warming up...]
  step=  69,840  1 eps: Mayar:1L P0  ret=  -2.80  len=  751  WR[warming up...]
  step=  71,328  1 eps: Mayar:1L P0  ret=  27.00  len= 1133  WR[warming up...]
  step=  71,640  1 eps: Worke:1L P0  ret=  21.00  len=  715  WR[warming up...]
  step=  76,560  1 eps: Mayar:1L P0  ret=   8.00  len= 1039  WR[warming up...]
  step=  76,944  1 eps: Mayar:1L P0  ret=  76.00  len= 1331  WR[warming up...]
  step=  78,312  1 eps: Light:1L P1  ret=   4.20  len=  721  WR[warming up...]
  step=  79,728  1 eps: Mayar:1L P0  ret=  78.00  len= 1423  WR[warming up...]
  step=  79,992  1 eps: CoacA:1L P1  ret=  22.00  len=  782  WR[warming up...]
  step=  81,576  1 eps: CoacA:1L P1  ret=  19.00  len=  782  WR[warming up...]
  step=  82,128  1 eps: Mayar:1L P1  ret=  -1.80  len=  810  WR[warming up...]
  step=  82,224  1 eps: Mayar:1L P1  ret=  -1.80  len=  731  WR[warming up...]
  step=  83,424  1 eps: Mayar:1L P1  ret=  -4.80  len=  723  WR[warming up...]
  step=  83,568  1 eps: CoacA:1L P1  ret=   3.20  len=  875  WR[warming up...]
  step=  84,024  1 eps: CoacA:1L P1  ret=  12.20  len=  817  WR[warming up...]
  step=  84,408  1 eps: Light:1L P1  ret=  38.00  len=  927  WR[warming up...]
  step=  84,528  1 eps: CoacA:1L P1  ret=  24.40  len=  838  WR[warming up...]
  step=  84,720  1 eps: CoacA:1L P1  ret=  21.20  len=  887  WR[warming up...]
  step=  85,680  1 eps: CoacA:1L P1  ret=  16.00  len=  914  WR[warming up...]
  step=  87,240  1 eps: Worke:1L P1  ret=  31.00  len=  845  WR[warming up...]
