
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     autoregressive_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,750,673 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Auto-reg:     embed_dim=8
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/autoregressive_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/autoregressive_s1/config.json

  step=  64,680  1 eps: Light:1L  ret=  21.20  len=  845  WR[warming up...]
  step=  65,760  1 eps: Worke:1L  ret=  17.00  len=  920  WR[warming up...]
  step=  68,160  1 eps: Mayar:1L  ret=  46.00  len= 1066  WR[warming up...]
  step=  69,888  1 eps: Mayar:1L  ret=  41.00  len= 1103  WR[warming up...]
  step=  73,152  1 eps: Mayar:1L  ret=  23.00  len=  978  WR[warming up...]
  step=  73,296  1 eps: Mayar:1L  ret=  38.00  len= 1113  WR[warming up...]
  step=  75,912  1 eps: Mayar:1L  ret=  -7.80  len=  749  WR[warming up...]
  step=  76,080  1 eps: Light:1L  ret=  35.00  len=  947  WR[warming up...]
  step=  76,104  1 eps: CoacA:1L  ret=  20.00  len=  796  WR[warming up...]
  step=  76,320  1 eps: Worke:1L  ret=  12.00  len=  695  WR[warming up...]
  step=  76,632  1 eps: Mayar:1L  ret=  39.00  len= 1280  WR[warming up...]
  step=  77,928  1 eps: CoacA:1L  ret=  21.00  len=  835  WR[warming up...]
  step=  79,512  1 eps: CoacA:1L  ret=  22.00  len=  773  WR[warming up...]
  step=  80,280  1 eps: Worke:1L  ret=  25.00  len=  605  WR[warming up...]
  step=  80,808  1 eps: CoacA:1L  ret=  22.00  len=  859  WR[warming up...]
  step=  81,504  1 eps: CoacA:1L  ret=  25.00  len=  862  WR[warming up...]
  step=  82,536  1 eps: Light:1L  ret=   1.20  len=  744  WR[warming up...]
  step=  83,040  1 eps: CoacA:1L  ret=  30.00  len=  876  WR[warming up...]
  step=  83,736  1 eps: CoacA:1L  ret=  26.00  len=  844  WR[warming up...]
  step=  84,528  1 eps: CoacA:1L  ret=  17.00  len=  885  WR[warming up...]
  step=  84,912  1 eps: Mayar:1L  ret=   6.00  len=  946  WR[warming up...]
  step=  87,120  1 eps: Worke:1L  ret=   1.20  len=  450  WR[warming up...]
  step=  87,624  1 eps: CoacA:1L  ret=  25.00  len= 1025  WR[warming up...]
  step=  87,648  1 eps: Mayar:1L  ret=  43.00  len= 1042  WR[warming up...]
  step=  89,712  1 eps: Mayar:1L  ret=  38.00  len= 1051  WR[warming up...]
  step=  90,936  1 eps: Mayar:1L  ret=  -4.80  len=  735  WR[warming up...]
  step=  94,440  1 eps: CoacA:1L  ret=  -6.80  len=  764  WR[warming up...]
  step=  94,776  1 eps: Mayar:1L  ret=  35.00  len= 1109  WR[warming up...]
  step=  95,760  1 eps: Mayar:1L  ret=  26.00  len=  942  WR[warming up...]
  step=  96,000  2 eps: Rando:2D  ret= 141.50  len= 4000  WR[warming up...]
  step=  96,600  1 eps: Worke:1L  ret=  -3.80  len=  395  WR[warming up...]
  step=  98,856  1 eps: Mayar:1L  ret=  45.00  len= 1207  WR[warming up...]
  step=  99,192  1 eps: Mayar:1L  ret=  25.00  len=  970  WR[warming up...]
  step=  99,720  1 eps: CoacA:1L  ret=  -6.80  len=  759  WR[warming up...]
  step= 100,392  1 eps: CoacA:1L  ret=  30.00  len=  936  WR[warming up...]
  step= 100,920  1 eps: Worke:1L  ret=  28.00  len=  860  WR[warming up...]
  step= 101,328  1 eps: Mayar:1L  ret=  52.00  len= 1029  WR[warming up...]
  step= 102,000  1 eps: Light:1L  ret=  27.20  len=  811  WR[warming up...]
  step= 102,480  1 eps: Light:1L  ret=  41.00  len= 1100  WR[warming up...]
  step= 102,768  1 eps: CoacA:1L  ret=  25.00  len=  915  WR[warming up...]
  step= 103,512  1 eps: CoacA:1L  ret=  35.00  len= 1000  WR[warming up...]
  step= 104,208  1 eps: CoacA:1L  ret=  -6.80  len=  820  WR[warming up...]
  step= 104,400  1 eps: CoacA:1L  ret=  -6.80  len=  890  WR[warming up...]
  step= 106,920  1 eps: Mayar:1L  ret=   1.00  len=  917  WR[warming up...]
  step= 107,376  1 eps: CoacA:1L  ret=  32.00  len=  985  WR[warming up...]
  step= 107,760  1 eps: Mayar:1L  ret=   4.20  len=  752  WR[warming up...]
  step= 109,440  1 eps: Worke:1L  ret=  12.00  len=  535  WR[warming up...]
  step= 111,840  1 eps: Worke:1L  ret=  -2.80  len=  455  WR[warming up...]
  step= 111,984  1 eps: CoacA:1L  ret=  48.00  len= 1015  WR[warming up...]
  step= 112,008  1 eps: Mayar:1L  ret=   1.20  len=  718  WR[warming up...]
  step= 113,424  1 eps: CoacA:1L  ret=  29.00  len=  791  WR[warming up...]
  step= 113,904  1 eps: Mayar:1L  ret=  38.00  len=  957  WR[warming up...]
  step= 115,416  1 eps: Mayar:1L  ret=  48.00  len= 1157  WR[warming up...]
  step= 117,360  1 eps: CoacA:1L  ret=   2.20  len=  735  WR[warming up...]
  step= 120,072  1 eps: CoacA:1L  ret=  13.20  len=  820  WR[warming up...]
  step= 120,384  1 eps: Mayar:1L  ret=  13.20  len=  794  WR[warming up...]
  step= 121,200  1 eps: Worke:1L  ret=   0.20  len=  390  WR[warming up...]
  step= 122,160  1 eps: CoacA:1L  ret=  25.20  len=  740  WR[warming up...]
  step= 122,400  1 eps: CoacA:1L  ret=  -5.80  len=  758  WR[Coac=0%]
  step= 122,760  1 eps: CoacA:1L  ret=  39.00  len=  833  WR[Coac=0%]
  step= 125,160  1 eps: Light:1L  ret=  34.00  len=  945  WR[Coac=0%]
  step= 125,640  1 eps: Worke:1L  ret=   7.20  len=  675  WR[Coac=0%]
  step= 126,144  1 eps: Light:1L  ret=  45.00  len= 1006  WR[Coac=0%]
  step= 126,720  1 eps: CoacA:1L  ret=  44.00  len=  967  WR[Coac=0%]
  step= 129,480  1 eps: Mayar:1L  ret=  48.00  len= 1262  WR[Coac=0%]
  step= 130,248  1 eps: Mayar:1L  ret=  35.00  len=  937  WR[Coac=0%]
