
============================================================
  PPO + unet_entity_cbam  —  MicroRTS
============================================================
  Exp name:     arch_ablation_unet_entity_cbam_s3
  Seed:         3
  Architecture: unet_entity_cbam (2,901,939 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  100,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      8138
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/arch_ablation_unet_entity_cbam_s3
  Eval every:   ~10.0M steps (813 updates)
  Eval bots:    RandomBiasedAI, POWorkerRush, POLightRush, CoacAI, Mayari (10 games each)
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/arch_ablation_unet_entity_cbam_s3/config.json

  step=  63,768  1 eps: CoacA:1L P0  ret=  37.00  len=  985  WR[warming up...]
  step=  64,920  1 eps: Mayar:1L P0  ret=  32.00  len= 1037  WR[warming up...]
  step=  65,760  1 eps: CoacA:1L P0  ret=  37.00  len= 1023  WR[warming up...]
  step=  66,720  2 eps: Mayar:1L P0 POWor:1L P1  ret=  24.10  len=  816  WR[warming up...]
  step=  66,984  1 eps: Mayar:1L P0  ret=   5.20  len=  800  WR[warming up...]
  step=  68,448  1 eps: Mayar:1L P0  ret=  41.00  len= 1052  WR[warming up...]
  step=  68,688  1 eps: Mayar:1L P0  ret=   6.20  len=  795  WR[warming up...]
  step=  68,880  1 eps: Mayar:1L P0  ret=  45.00  len= 1044  WR[warming up...]
  step=  72,840  1 eps: POWor:1L P0  ret=  21.00  len=  645  WR[warming up...]
  step=  75,792  1 eps: CoacA:1L P1  ret=  19.20  len=  770  WR[warming up...]
  step=  77,736  1 eps: CoacA:1L P1  ret=  39.20  len=  814  WR[warming up...]
  step=  78,000  1 eps: Rando:1L P0  ret=  -1.80  len= 3250  WR[warming up...]
  step=  78,336  1 eps: Mayar:1L P1  ret=  -9.80  len=  719  WR[warming up...]
  step=  78,648  1 eps: POLig:1L P1  ret=  39.00  len=  951  WR[warming up...]
  step=  79,128  1 eps: CoacA:1L P1  ret=   0.20  len=  789  WR[warming up...]
  step=  79,224  1 eps: CoacA:1L P1  ret=  -5.80  len=  751  WR[warming up...]
  step=  79,320  1 eps: POWor:1L P0  ret=  -2.80  len=  525  WR[warming up...]
  step=  80,640  1 eps: CoacA:1L P1  ret=  34.00  len=  842  WR[warming up...]
  step=  81,360  1 eps: CoacA:1L P1  ret=  30.20  len=  882  WR[warming up...]
  step=  81,504  1 eps: Mayar:1L P1  ret=  29.20  len=  872  WR[warming up...]
  step=  81,576  1 eps: POLig:1L P1  ret=  43.00  len=  974  WR[warming up...]
  step=  83,568  1 eps: CoacA:1L P1  ret=  23.00  len=  825  WR[warming up...]
  step=  84,024  1 eps: CoacA:1L P1  ret=   6.20  len=  899  WR[warming up...]
  step=  85,248  1 eps: Mayar:1L P1  ret=  13.20  len=  761  WR[warming up...]
  step=  85,728  1 eps: CoacA:1L P1  ret=  36.00  len=  832  WR[warming up...]
  step=  86,832  1 eps: Mayar:1L P1  ret=  38.00  len= 1013  WR[warming up...]
  step=  88,824  1 eps: Mayar:1L P1  ret=  39.00  len=  921  WR[warming up...]
  step=  90,384  1 eps: Mayar:1L P1  ret=  55.00  len= 1061  WR[warming up...]
  step=  90,888  1 eps: Mayar:1L P1  ret=  11.20  len=  925  WR[warming up...]
  step=  95,784  1 eps: Mayar:1L P1  ret=  61.00  len= 1139  WR[warming up...]
  step=  96,000  1 eps: Rando:1D P0  ret= 164.20  len= 4000  WR[warming up...]
  step=  96,216  1 eps: CoacA:1L P0  ret=  -6.80  len=  851  WR[warming up...]
  step=  96,360  1 eps: Mayar:1L P0  ret=  -0.80  len=  751  WR[warming up...]
  step= 100,224  1 eps: CoacA:1L P0  ret=  33.00  len=  937  WR[warming up...]
  step= 101,352  1 eps: CoacA:1L P0  ret=  34.20  len=  922  WR[warming up...]
  step= 101,520  1 eps: CoacA:1L P0  ret=   2.20  len=  840  WR[warming up...]
  step= 101,760  1 eps: POLig:1L P0  ret=  21.00  len=  963  WR[warming up...]
  step= 102,720  1 eps: POWor:1L P1  ret=  43.00  len=  975  WR[warming up...]
  step= 102,936  1 eps: POLig:1L P0  ret=  39.00  len=  890  WR[warming up...]
  step= 102,984  1 eps: CoacA:1L P0  ret=   0.20  len=  809  WR[warming up...]
  step= 103,536  1 eps: CoacA:1L P0  ret=  37.00  len= 1017  WR[warming up...]
  step= 104,112  1 eps: Mayar:1L P0  ret=  -4.80  len=  720  WR[warming up...]
  step= 104,424  1 eps: CoacA:1L P0  ret=  27.00  len=  991  WR[warming up...]
  step= 104,448  1 eps: CoacA:1L P0  ret=   0.20  len=  780  WR[warming up...]
  step= 104,592  1 eps: Mayar:1L P1  ret=  67.00  len= 1488  WR[warming up...]
  step= 105,360  1 eps: Mayar:1L P0  ret=  47.00  len=  994  WR[warming up...]
  step= 105,720  1 eps: CoacA:1L P0  ret=   8.20  len=  904  WR[warming up...]
  step= 108,336  1 eps: Mayar:1L P0  ret=  -0.80  len=  748  WR[warming up...]
  step= 112,128  1 eps: Mayar:1L P0  ret=  56.00  len= 1120  WR[warming up...]
  step= 113,400  1 eps: POWor:1L P0  ret=  10.00  len=  445  WR[warming up...]
  step= 113,640  1 eps: Mayar:1L P0  ret=  36.20  len= 1034  WR[warming up...]
  step= 117,240  1 eps: CoacA:1L P1  ret=  40.00  len=  876  WR[warming up...]
  step= 118,056  1 eps: Mayar:1L P1  ret=  26.20  len=  904  WR[warming up...]
  step= 118,440  1 eps: CoacA:1L P1  ret=  31.00  len=  759  WR[warming up...]
  step= 119,208  1 eps: Mayar:1L P0  ret=  60.00  len= 1180  WR[warming up...]
  step= 121,512  1 eps: CoacA:1L P1  ret=  18.20  len=  840  WR[warming up...]
  step= 123,264  1 eps: CoacA:1L P1  ret=   5.20  len=  845  WR[warming up...]
  step= 123,480  1 eps: CoacA:1L P1  ret=  35.00  len=  915  WR[Coac=0%]
  step= 123,744  1 eps: POLig:1L P1  ret=  47.00  len=  916  WR[Coac=0%]
  step= 124,176  1 eps: CoacA:1L P1  ret=  41.00  len=  860  WR[Coac=0%]
  step= 125,448  1 eps: CoacA:1L P1  ret=  36.00  len=  875  WR[Coac=0%]
  step= 125,856  1 eps: Mayar:1L P0  ret=  69.00  len= 1253  WR[Coac=0%]
  step= 126,000  1 eps: CoacA:1L P1  ret=  37.00  len=  899  WR[Coac=0%]
  step= 126,072  1 eps: POLig:1L P1  ret=  50.00  len=  964  WR[Coac=0%]
  step= 127,968  1 eps: CoacA:1L P1  ret=  42.20  len=  927  WR[Coac=0%]
  step= 128,064  1 eps: Mayar:1L P1  ret=  27.20  len=  998  WR[Coac=0%]
  step= 129,840  1 eps: POWor:1L P1  ret= 157.20  len= 2375  WR[Coac=0%]
  step= 130,488  1 eps: Mayar:1L P1  ret=  53.60  len= 1047  WR[Coac=0%]
  step= 131,016  1 eps: Mayar:1L P1  ret=  -5.80  len=  724  WR[Coac=0%]
  step= 131,832  1 eps: Mayar:1L P1  ret=  31.20  len=  979  WR[Coac=0%]
  step= 134,832  1 eps: Mayar:1L P0  ret=  52.00  len= 1260  WR[Coac=0% Maya=0%]
  step= 138,000  1 eps: POWor:1L P1  ret=  65.00  len= 1025  WR[Coac=0% Maya=0%]
  step= 140,760  1 eps: CoacA:1L P0  ret=  44.60  len=  930  WR[Coac=0% Maya=0%]
  step= 141,168  1 eps: CoacA:1L P0  ret=  -6.80  len=  819  WR[Coac=0% Maya=0%]
  step= 141,984  1 eps: CoacA:1L P0  ret=  49.00  len= 1031  WR[Coac=0% Maya=0%]
  step= 142,080  1 eps: Mayar:1L P0  ret=  28.00  len= 1001  WR[Coac=0% Maya=0%]
  step= 143,880  1 eps: Mayar:1L P1  ret=  80.00  len= 1323  WR[Coac=0% Maya=0%]
  step= 144,888  1 eps: CoacA:1L P0  ret=  25.20  len=  901  WR[Coac=0% Maya=0%]
  step= 145,032  1 eps: POLig:1L P0  ret=   7.20  len=  790  WR[Coac=0% Maya=0%]
  step= 146,736  1 eps: CoacA:1L P0  ret=  27.20  len=  887  WR[Coac=0% Maya=0%]
  step= 146,856  1 eps: CoacA:1L P0  ret=  41.20  len=  869  WR[Coac=0% Maya=0%]
  step= 146,904  1 eps: CoacA:1L P0  ret=   8.20  len=  789  WR[Coac=0% Maya=0%]
  step= 147,360  1 eps: POLig:1L P0  ret=  51.00  len=  984  WR[Coac=0% Maya=0%]
  step= 147,384  1 eps: CoacA:1L P0  ret=  22.20  len=  996  WR[Coac=0% Maya=0%]
  step= 148,416  1 eps: CoacA:1L P0  ret=  18.20  len= 1010  WR[Coac=0% Maya=0%]
  step= 151,032  1 eps: Mayar:1L P1  ret=  84.00  len= 1326  WR[Coac=0% Maya=0%]
  step= 151,128  1 eps: Mayar:1L P0  ret=   2.20  len=  804  WR[Coac=0% Maya=0%]
  step= 152,040  1 eps: Mayar:1L P0  ret=  34.20  len=  898  WR[Coac=0% Maya=0%]
  step= 152,520  1 eps: POWor:1L P0  ret=  61.00  len=  945  WR[Coac=0% Maya=0%]
  step= 152,592  1 eps: Mayar:1L P0  ret=  37.20  len=  899  WR[Coac=0% Maya=0%]
  step= 155,568  1 eps: Rando:1W P1  ret= 158.00  len= 2482  WR[Coac=0% Maya=0%]
  step= 156,816  1 eps: Mayar:1L P0  ret=  53.20  len= 1198  WR[Coac=0% Maya=0%]
  step= 158,664  1 eps: CoacA:1L P1  ret=   1.20  len=  729  WR[Coac=0% Maya=0%]
  step= 159,552  2 eps: CoacA:2L P1  ret=  10.70  len=  757  WR[Coac=0% Maya=0%]
  step= 162,360  1 eps: POWor:1L P0  ret=  52.20  len= 1015  WR[Coac=0% Maya=0%]
  step= 164,064  1 eps: CoacA:1L P1  ret=  -5.80  len=  717  WR[Coac=0% Maya=0%]
  step= 164,928  1 eps: Rando:1W P1  ret= 203.20  len= 3622  WR[Coac=0% Maya=0%]
  step= 165,072  1 eps: POLig:1L P1  ret=  15.20  len=  738  WR[Coac=0% Maya=0%]
  step= 165,192  1 eps: CoacA:1L P1  ret=   8.20  len=  769  WR[Coac=0% Maya=0%]
  step= 165,216  1 eps: Mayar:1L P1  ret=  55.00  len= 1266  WR[Coac=0% Maya=0%]
  step= 166,128  1 eps: CoacA:1L P1  ret=  -2.80  len=  738  WR[Coac=0% Maya=0%]
  step= 166,224  1 eps: CoacA:1L P1  ret=  35.00  len=  805  WR[Coac=0% Maya=0%]
  step= 166,608  1 eps: CoacA:1L P1  ret=  36.00  len=  905  WR[Coac=0% Maya=0%]
  step= 166,776  1 eps: CoacA:1L P1  ret=  31.20  len=  808  WR[Coac=0% Maya=0%]
  step= 167,040  1 eps: POWor:1L P1  ret=   2.20  len=  605  WR[Coac=0% Maya=0%]
  step= 168,864  1 eps: POLig:1L P1  ret=  59.20  len=  993  WR[Coac=0% Maya=0%]
  step= 170,016  1 eps: Mayar:1L P1  ret=  72.80  len= 1164  WR[Coac=0% Maya=0%]
  step= 171,648  1 eps: Mayar:1L P0  ret=  58.00  len= 1157  WR[Coac=0% Maya=0%]
  step= 173,568  1 eps: Mayar:1L P1  ret= 111.00  len= 1988  WR[Coac=0% Maya=0%]
