arch,seed,opponent,games,p0_wr,p0_avg_len,p1_wr,p1_avg_len,total_wr
unet_entity_cbam,2,WorkerRush,1000,0.978,1093,0.744,1307,0.861
unet_entity_cbam,2,LightRush,1000,0.742,1345,0.968,1076,0.855
unet_entity_cbam,2,CoacAI,1000,0.006,1269,0.276,1290,0.141
unet_entity_cbam,2,Mayari,1000,0.552,1548,0.784,1270,0.668
unet_entity_cbam,3,RandomBiasedAI,1000,1.0,760,1.0,714,1.0
unet_entity_cbam,3,WorkerRush,1000,0.936,1069,0.48,1725,0.708
unet_entity_cbam,3,LightRush,1000,0.962,1194,0.998,789,0.98
unet_entity_cbam,3,CoacAI,1000,0.002,1455,0.98,852,0.491
unet_entity_cbam,3,Mayari,1000,0.856,1225,0.668,1359,0.762
unet_entity_cbam_deep,1,RandomBiasedAI,1000,1.0,935,1.0,865,1.0
unet_entity_cbam_deep,1,WorkerRush,1000,0.978,892,0.986,806,0.982
unet_entity_cbam_deep,1,LightRush,1000,0.996,941,0.998,970,0.997
unet_entity_cbam_deep,1,CoacAI,1000,0.546,1434,0.934,974,0.74
unet_entity_cbam_deep,1,Mayari,1000,0.948,1202,0.95,1139,0.949
unet_entity_cbam_deep,2,RandomBiasedAI,1000,1.0,701,1.0,993,1.0
unet_entity_cbam_deep,2,WorkerRush,1000,0.95,940,0.994,888,0.972
unet_entity_cbam_deep,2,LightRush,1000,0.974,1047,1.0,1111,0.987
unet_entity_cbam_deep,2,CoacAI,1000,0.234,1415,0.934,1136,0.584
unet_entity_cbam_deep,2,Mayari,1000,0.868,1169,0.926,1262,0.897
unet_entity_cbam_deep,3,RandomBiasedAI,1000,1.0,825,1.0,701,1.0
unet_entity_cbam_deep,3,WorkerRush,1000,0.996,981,0.936,1000,0.966
unet_entity_cbam_deep,3,LightRush,1000,0.958,1163,0.988,1087,0.973
unet_entity_cbam_deep,3,CoacAI,1000,0.0,1436,0.316,1306,0.158
unet_entity_cbam_deep,3,Mayari,1000,0.728,1441,0.736,1377,0.732
