
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_hl_gauss_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,739,001 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  HL-Gauss:     255 bins
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_hl_gauss_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_hl_gauss_s1/config.json

  step=  66,528  1 eps: CoacA:1L  ret=  -3.80  len=  809  WR[warming up...]
  step=  66,816  1 eps: Mayar:1L  ret=   4.20  len=  787  WR[warming up...]
  step=  67,368  1 eps: CoacA:1L  ret=  37.00  len= 1036  WR[warming up...]
  step=  67,680  1 eps: POWor:1L  ret=  15.00  len=  600  WR[warming up...]
  step=  67,776  1 eps: Mayar:1L  ret=  -8.80  len=  807  WR[warming up...]
  step=  71,544  1 eps: Mayar:1L  ret=   2.20  len=  823  WR[warming up...]
  step=  71,832  1 eps: Mayar:1L  ret=  38.00  len= 1079  WR[warming up...]
  step=  75,240  1 eps: Mayar:1L  ret=  75.60  len= 1272  WR[warming up...]
  step=  77,160  1 eps: POWor:1L  ret=  -3.80  len=  395  WR[warming up...]
  step=  77,472  1 eps: CoacA:1L  ret=  31.00  len=  805  WR[warming up...]
  step=  79,176  1 eps: CoacA:1L  ret=  11.00  len=  825  WR[warming up...]
  step=  80,232  1 eps: CoacA:1L  ret=  15.20  len=  865  WR[warming up...]
  step=  81,144  1 eps: POLig:1L  ret=  42.20  len=  850  WR[warming up...]
  step=  82,488  1 eps: POLig:1L  ret=  57.00  len= 1066  WR[warming up...]
  step=  82,704  1 eps: CoacA:1L  ret=  30.00  len=  796  WR[warming up...]
  step=  82,728  1 eps: CoacA:1L  ret=   0.20  len=  772  WR[warming up...]
  step=  83,088  1 eps: Mayar:1L  ret=  -4.80  len=  813  WR[warming up...]
  step=  83,328  1 eps: Mayar:1L  ret=   6.20  len=  851  WR[warming up...]
  step=  84,168  1 eps: CoacA:1L  ret=  12.20  len=  735  WR[warming up...]
  step=  84,432  1 eps: Mayar:1L  ret=   7.20  len=  734  WR[warming up...]
  step=  84,552  1 eps: CoacA:1L  ret=  22.00  len=  817  WR[warming up...]
