
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_buildtime_rewards_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 6.0, 5.25, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2/config.json

  step=  69,096  1 eps: Mayar:1L P0  ret=  45.00  len=  992  WR[warming up...]
  step=  69,456  1 eps: Mayar:1L P0  ret=  -1.00  len=  822  WR[warming up...]
  step=  70,344  1 eps: Mayar:1L P0  ret=  53.00  len= 1263  WR[warming up...]
  step=  73,368  1 eps: Mayar:1L P0  ret=  27.00  len= 1046  WR[warming up...]
  step=  73,560  1 eps: Rando:1W P0  ret= 123.00  len= 3065  WR[warming up...]
  step=  73,656  1 eps: Mayar:1L P0  ret=  53.00  len= 1026  WR[warming up...]
  step=  75,504  1 eps: Mayar:1L P1  ret=  -5.80  len=  687  WR[warming up...]
  step=  77,328  1 eps: POLig:1L P1  ret=  -3.80  len=  675  WR[warming up...]
  step=  77,640  1 eps: CoacA:1L P1  ret=   2.20  len=  749  WR[warming up...]
  step=  79,416  1 eps: CoacA:1L P1  ret=  26.20  len=  788  WR[warming up...]
  step=  79,584  1 eps: CoacA:1L P1  ret=   9.20  len=  795  WR[warming up...]
  step=  80,040  1 eps: POWor:1L P1  ret=  82.00  len= 1315  WR[warming up...]
  step=  80,088  1 eps: CoacA:1L P1  ret=  31.00  len=  898  WR[warming up...]
  step=  80,352  1 eps: CoacA:1L P1  ret=  20.00  len=  880  WR[warming up...]
  step=  82,848  1 eps: CoacA:1L P1  ret=  33.00  len=  879  WR[warming up...]
  step=  83,760  1 eps: CoacA:1L P1  ret=  46.00  len= 1012  WR[warming up...]
  step=  84,696  1 eps: CoacA:1L P1  ret=  35.00  len=  943  WR[warming up...]
  step=  84,888  1 eps: Mayar:1L P1  ret=   5.00  len=  927  WR[warming up...]
