
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     spp_critic_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) [SPP-critic] (4,804,411 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/spp_critic_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/spp_critic_s2/config.json

  step=  70,320  1 eps: Worke:1L  ret=  31.00  len=  805  WR[warming up...]
  step=  71,040  1 eps: Mayar:1L  ret=  21.00  len= 1086  WR[warming up...]
  step=  71,736  1 eps: Mayar:1L  ret=  31.00  len= 1118  WR[warming up...]
  step=  73,080  1 eps: Worke:1L  ret=  69.00  len= 1260  WR[warming up...]
  step=  73,200  1 eps: Mayar:1L  ret=  31.00  len= 1165  WR[warming up...]
  step=  77,904  1 eps: CoacA:1L  ret=  17.00  len=  848  WR[warming up...]
  step=  78,264  1 eps: CoacA:1L  ret=  30.00  len=  868  WR[warming up...]
  step=  78,576  1 eps: CoacA:1L  ret=  33.00  len=  831  WR[warming up...]
  step=  81,936  1 eps: CoacA:1L  ret=   6.20  len=  746  WR[warming up...]
  step=  82,080  1 eps: CoacA:1L  ret=   0.20  len=  736  WR[warming up...]
  step=  82,200  1 eps: Worke:1L  ret=  -5.80  len=  495  WR[warming up...]
  step=  83,280  1 eps: CoacA:1L  ret=  20.00  len=  802  WR[warming up...]
  step=  83,520  1 eps: Worke:1L  ret=  -2.80  len=  435  WR[warming up...]
  step=  84,648  1 eps: Mayar:1L  ret=  13.00  len=  863  WR[warming up...]
  step=  85,416  1 eps: CoacA:1L  ret=  25.00  len=  840  WR[warming up...]
  step=  85,680  1 eps: CoacA:1L  ret=  26.00  len=  901  WR[warming up...]
